""	"ID"	"Description"	"Count"	"GeneRatio"	"geneID"
"GO:0097367"	"GO:0097367"	"carbohydrate derivative binding"	192	"192/139"	"100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928"
"GO:0140272"	"GO:0140272"	"exogenous protein binding"	0	"0/139"	""
"GO:0140355"	"GO:0140355"	"cargo receptor ligand activity"	0	"0/139"	""
"GO:1901363"	"GO:1901363"	"heterocyclic compound binding"	708	"708/139"	"100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/100382402/100382402/100382402/100382402/103644933/103644933/103644933/103644933/103644933/103644933/100274380/100274380/100274380/100274380/100274380/100274380/100274380/100274380/100274380/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100281181/100281181/100281181/100281181/100281181/100281181/100281181/100281181/100281181/100281181/100281181/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/542716/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/103504712/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/542320/542320/542320/542320/542320/542320/542320/542320/542320/542320/542320/542320/542320/542320/100281091/100281091/100281091/100281091/100281091/100281091/100281091/100281091/100281091/100281091/100281091/100281091/100281091/100281091/100273616/100273616/100273616/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100191769/100191769/100191769/100191769/100191769/100191769/100191769/100191769/100191769/100274473/100274473/100274473/100274473/100274473/100274473/100274473/103626984/103626984/100284998/100284998/100284998/100284998/100284998/100284998/100284998/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100279973/100279973/100279973/100279973/100279973/100279973/100279973/100279973/100279973/100279973/100501680/100501680/100382914/100382914/100382914/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/103633147/103633147/103633147/103633147/103633147/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100282512/100285398/100285398/100285398/100285398/100285398/100285398/100285398/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/100274453/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638138/103638672/103638672/103638672/103638672/103638672/103638672/103638672/103638672/100192099/100192099/100192099/100192099/100192099/100192099/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100284818/100284818/100284818/100284818/100284818/100284818/100284818/100284818/103641262/103641262/103641262/103641262/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928"
"GO:1901681"	"GO:1901681"	"sulfur compound binding"	0	"0/139"	""
"GO:1902670"	"GO:1902670"	"carbon dioxide binding"	0	"0/139"	""
"GO:1904483"	"GO:1904483"	"synthetic cannabinoid binding"	0	"0/139"	""
"GO:1904493"	"GO:1904493"	"tetrahydrofolyl-poly(glutamate) polymer binding"	0	"0/139"	""
"GO:1990300"	"GO:1990300"	"cellulosome binding"	0	"0/139"	""
"GO:0004362"	"GO:0004362"	"glutathione-disulfide reductase (NADP) activity"	0	"0/139"	""
"GO:0004601"	"GO:0004601"	"peroxidase activity"	41	"41/139"	"100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100191769/100191769/100191769/100191769/100191769/100191769/100191769/100191769/100191769/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153"
"GO:0004784"	"GO:0004784"	"superoxide dismutase activity"	0	"0/139"	""
"GO:0004791"	"GO:0004791"	"thioredoxin-disulfide reductase (NADP) activity"	0	"0/139"	""
"GO:0032542"	"GO:0032542"	"sulfiredoxin activity"	0	"0/139"	""
"GO:0045174"	"GO:0045174"	"glutathione dehydrogenase (ascorbate) activity"	0	"0/139"	""
"GO:0050605"	"GO:0050605"	"superoxide reductase activity"	0	"0/139"	""
"GO:0004873"	"GO:0004873"	"asialoglycoprotein receptor activity"	0	"0/139"	""
"GO:0004998"	"GO:0004998"	"transferrin receptor activity"	0	"0/139"	""
"GO:0005044"	"GO:0005044"	"scavenger receptor activity"	0	"0/139"	""
"GO:0008196"	"GO:0008196"	"vitellogenin receptor activity"	0	"0/139"	""
"GO:0016964"	"GO:0016964"	"alpha-2 macroglobulin receptor activity"	0	"0/139"	""
"GO:0030226"	"GO:0030226"	"apolipoprotein receptor activity"	0	"0/139"	""
"GO:0030228"	"GO:0030228"	"lipoprotein particle receptor activity"	0	"0/139"	""
"GO:0033568"	"GO:0033568"	"lactoferrin receptor activity"	0	"0/139"	""
"GO:0061714"	"GO:0061714"	"folic acid receptor activity"	0	"0/139"	""
"GO:0070287"	"GO:0070287"	"ferritin receptor activity"	0	"0/139"	""
"GO:0097020"	"GO:0097020"	"COPII receptor activity"	0	"0/139"	""
"GO:0140488"	"GO:0140488"	"heme receptor activity"	0	"0/139"	""
"GO:0140662"	"GO:0140662"	"ATP-dependent protein folding chaperone"	24	"24/139"	"100280907/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100280907/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928"
"GO:0030371"	"GO:0030371"	"translation repressor activity"	0	"0/139"	""
"GO:0045183"	"GO:0045183"	"translation factor activity, non-nucleic acid binding"	0	"0/139"	""
"GO:0090079"	"GO:0090079"	"translation regulator activity, nucleic acid binding"	0	"0/139"	""
"GO:0000156"	"GO:0000156"	"phosphorelay response regulator activity"	0	"0/139"	""
"GO:0009927"	"GO:0009927"	"histidine phosphotransfer kinase activity"	11	"11/139"	"100281022/100281022/100281022/100281022/100281022/100281022/100281022/100281022/100281022/100281022/100281022"
"GO:0031992"	"GO:0031992"	"energy transducer activity"	0	"0/139"	""
"GO:0038023"	"GO:0038023"	"signaling receptor activity"	0	"0/139"	""
"GO:0030533"	"GO:0030533"	"triplet codon-amino acid adaptor activity"	0	"0/139"	""
"GO:0030674"	"GO:0030674"	"protein-macromolecule adaptor activity"	0	"0/139"	""
"GO:0106260"	"GO:0106260"	"DNA-DNA tethering activity"	0	"0/139"	""
"GO:0003925"	"GO:0003925"	"G protein activity"	0	"0/139"	""
"GO:0016247"	"GO:0016247"	"channel regulator activity"	0	"0/139"	""
"GO:0030234"	"GO:0030234"	"enzyme regulator activity"	22	"22/139"	"541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712"
"GO:0030545"	"GO:0030545"	"signaling receptor regulator activity"	0	"0/139"	""
"GO:0060590"	"GO:0060590"	"ATPase regulator activity"	0	"0/139"	""
"GO:0140659"	"GO:0140659"	"cytoskeletal motor regulator activity"	0	"0/139"	""
"GO:0140677"	"GO:0140677"	"molecular function activator activity"	22	"22/139"	"541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712"
"GO:0140678"	"GO:0140678"	"molecular function inhibitor activity"	0	"0/139"	""
"GO:0005344"	"GO:0005344"	"oxygen carrier activity"	0	"0/139"	""
"GO:0016530"	"GO:0016530"	"metallochaperone activity"	0	"0/139"	""
"GO:0097163"	"GO:0097163"	"sulfur carrier activity"	0	"0/139"	""
"GO:0140132"	"GO:0140132"	"iron-sulfur cluster carrier activity"	0	"0/139"	""
"GO:0140142"	"GO:0140142"	"nucleocytoplasmic carrier activity"	0	"0/139"	""
"GO:0140414"	"GO:0140414"	"phosphopantetheine-dependent carrier activity"	0	"0/139"	""
"GO:0140597"	"GO:0140597"	"protein carrier chaperone"	0	"0/139"	""
"GO:0001070"	"GO:0001070"	"RNA-binding transcription regulator activity"	0	"0/139"	""
"GO:0001072"	"GO:0001072"	"transcription antitermination factor activity, RNA binding"	0	"0/139"	""
"GO:0001073"	"GO:0001073"	"transcription antitermination factor activity, DNA binding"	0	"0/139"	""
"GO:0003700"	"GO:0003700"	"DNA-binding transcription factor activity"	34	"34/139"	"100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/103644933/103644933/103644933/103644933/103644933/103644933/100284818/100284818/100284818/100284818/100284818/100284818/100284818/100284818"
"GO:0003711"	"GO:0003711"	"transcription elongation factor activity"	0	"0/139"	""
"GO:0003712"	"GO:0003712"	"transcription coregulator activity"	8	"8/139"	"103638672/103638672/103638672/103638672/103638672/103638672/103638672/103638672"
"GO:0043856"	"GO:0043856"	"anti-sigma factor antagonist activity"	0	"0/139"	""
"GO:0000995"	"GO:0000995"	"RNA polymerase III general transcription initiation factor activity"	0	"0/139"	""
"GO:0001181"	"GO:0001181"	"RNA polymerase I general transcription initiation factor activity"	0	"0/139"	""
"GO:0016251"	"GO:0016251"	"RNA polymerase II general transcription initiation factor activity"	0	"0/139"	""
"GO:0000155"	"GO:0000155"	"phosphorelay sensor kinase activity"	0	"0/139"	""
"GO:0005034"	"GO:0005034"	"osmosensor activity"	0	"0/139"	""
"GO:0019826"	"GO:0019826"	"oxygen sensor activity"	0	"0/139"	""
"GO:0035991"	"GO:0035991"	"nitric oxide sensor activity"	0	"0/139"	""
"GO:0070027"	"GO:0070027"	"carbon monoxide sensor activity"	0	"0/139"	""
"GO:0106254"	"GO:0106254"	"lipid sensor activity"	0	"0/139"	""
"GO:0140442"	"GO:0140442"	"peroxide sensor activity"	0	"0/139"	""
"GO:0140612"	"GO:0140612"	"DNA damage sensor activity"	0	"0/139"	""
"GO:0140784"	"GO:0140784"	"metal ion sensor activity"	0	"0/139"	""
"GO:0140785"	"GO:0140785"	"amino acid sensor activity"	0	"0/139"	""
"GO:0141089"	"GO:0141089"	"glucose sensor activity"	0	"0/139"	""
"GO:0097351"	"GO:0097351"	"toxin sequestering activity"	0	"0/139"	""
"GO:0140311"	"GO:0140311"	"protein sequestering activity"	0	"0/139"	""
"GO:0140319"	"GO:0140319"	"receptor decoy activity"	0	"0/139"	""
"GO:0140487"	"GO:0140487"	"metal ion sequestering activity"	0	"0/139"	""
"GO:0140610"	"GO:0140610"	"RNA sequestering activity"	0	"0/139"	""
"GO:0000497"	"GO:0000497"	"DNA template activity"	0	"0/139"	""
"GO:0140490"	"GO:0140490"	"microtubule nucleator activity"	0	"0/139"	""
"GO:0140523"	"GO:0140523"	"GTPase-dependent fusogenic activity"	0	"0/139"	""
"GO:0004176"	"GO:0004176"	"ATP-dependent peptidase activity"	0	"0/139"	""
"GO:0004386"	"GO:0004386"	"helicase activity"	0	"0/139"	""
"GO:0008094"	"GO:0008094"	"ATP-dependent activity, acting on DNA"	0	"0/139"	""
"GO:0008186"	"GO:0008186"	"ATP-dependent activity, acting on RNA"	0	"0/139"	""
"GO:0008568"	"GO:0008568"	"microtubule severing ATPase activity"	0	"0/139"	""
"GO:0008641"	"GO:0008641"	"ubiquitin-like modifier activating enzyme activity"	0	"0/139"	""
"GO:0015645"	"GO:0015645"	"fatty acid ligase activity"	0	"0/139"	""
"GO:0016887"	"GO:0016887"	"ATP hydrolysis activity"	36	"36/139"	"541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928"
"GO:0030899"	"GO:0030899"	"calcium-dependent ATPase activity"	0	"0/139"	""
"GO:0036310"	"GO:0036310"	"ATP-dependent DNA/DNA annealing activity"	0	"0/139"	""
"GO:0036402"	"GO:0036402"	"proteasome-activating activity"	0	"0/139"	""
"GO:0042626"	"GO:0042626"	"ATPase-coupled transmembrane transporter activity"	0	"0/139"	""
"GO:0070463"	"GO:0070463"	"tubulin-dependent ATPase activity"	0	"0/139"	""
"GO:0140326"	"GO:0140326"	"ATPase-coupled intramembrane lipid transporter activity"	0	"0/139"	""
"GO:0140545"	"GO:0140545"	"ATP-dependent protein disaggregase activity"	0	"0/139"	""
"GO:0140567"	"GO:0140567"	"membrane protein dislocase activity"	0	"0/139"	""
"GO:0140663"	"GO:0140663"	"ATP-dependent FeS chaperone activity"	0	"0/139"	""
"GO:1990833"	"GO:1990833"	"clathrin-uncoating ATPase activity"	0	"0/139"	""
"GO:0003789"	"GO:0003789"	"actin filament severing activity"	0	"0/139"	""
"GO:0140775"	"GO:0140775"	"actin filament debranching activity"	0	"0/139"	""
"GO:0140778"	"GO:0140778"	"microtubule stabilizing activity"	0	"0/139"	""
"GO:0031386"	"GO:0031386"	"protein tag activity"	0	"0/139"	""
"GO:0141048"	"GO:0141048"	"membrane tag activity"	0	"0/139"	""
