Zm00001eb000650	Transducin/WD40 repeat-like superfamily protein/Transducin/WD40 repeat-like superfamily protein/E3 ubiquitin-protein ligase RFWD3/RING-type domain-containing protein/
Zm00001eb030110	Isoflavone 3'-hydroxylase/Isoflavone 3'-hydroxylase/Cytochrome P450 CYP81N5/
Zm00001eb030170	Cytochrome P450 81D11/Cytochrome P450 81D11/Cytochrome P450 CYP81N4/
Zm00001eb030190	Zinc finger protein AZF2/Zinc finger protein AZF2/Zinc finger protein 1/Zinc-finger protein 1/
Zm00001eb030210	Serine hydroxymethyltransferase (EC 2.1.2.1)/Serine hydroxymethyltransferase (EC 2.1.2.1)/Glycine hydroxymethyltransferase (EC 2.1.2.1)/
Zm00001eb030360	Uncharacterized protein/Uncharacterized protein/Thioredoxin-like protein AAED1, chloroplastic/Protein-serine/threonine phosphatase (EC 3.1.3.16)/
Zm00001eb030400	Homeodomain-like superfamily protein/Homeodomain-like superfamily protein/Myb family transcription factor EFM/
Zm00001eb030440	Adenine phosphoribosyltransferase (EC 2.4.2.7)/Adenine phosphoribosyltransferase (EC 2.4.2.7)/Adenine phosphoribosyltransferase 1 chloroplastic/
Zm00001eb030480	Vegetative storage protein/Vegetative storage protein/Pentatricopeptide repeat-containing protein/
Zm00001eb030680	Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain/Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain/Serine/threonine-protein kinase EDR1/
Zm00001eb030710	EXS (ERD1/XPR1/SYG1) family protein/EXS (ERD1/XPR1/SYG1) family protein/SPX and EXS domain-containing protein 1/
Zm00001eb030760	Lipoyl(octanoyl) transferase (EC 2.3.1.181)/Lipoyl(octanoyl) transferase (EC 2.3.1.181)/Plastidial lipoyltransferase 2/
Zm00001eb030840	BTB/POZ domain-containing protein/BTB/POZ domain-containing protein/Uncharacterized protein/
Zm00001eb030870	Zinc ion binding protein/Zinc ion binding protein/Protein DA1-related 1/LIM transcription factor (Zinc ion binding protein)/
Zm00001eb030880	Phosphatidylinositol-glycan biosynthesis class X protein/Phosphatidylinositol-glycan biosynthesis class X protein/PIG-X/PBN1 family protein/Uncharacterized protein/
Zm00001eb030930	TRAF-like superfamily protein/TRAF-like superfamily protein/MATH domain-containing protein/
Zm00001eb030950	TRAF-like superfamily protein/TRAF-like superfamily protein/MATH domain-containing protein/
Zm00001eb030960	FAD/NAD(P)-binding oxidoreductase family protein/FAD/NAD(P)-binding oxidoreductase family protein/Renalase/Uncharacterized protein/
Zm00001eb031250	Protein ROOT HAIR DEFECTIVE 3 homolog (EC 3.6.5.-) (Protein SEY1 homolog)/Protein ROOT HAIR DEFECTIVE 3 homolog (EC 3.6.5.-) (Protein SEY1 homolog)/Protein ROOT HAIR DEFECTIVE 3 homolog 2/
Zm00001eb031270	Serine/threonine-protein kinase Nek1/Serine/threonine-protein kinase Nek1/Serine/threonine-protein kinase Nek2/Uncharacterized protein/Protein kinase domain-containing protein/
Zm00001eb031280	Tetratricopeptide repeat (TPR)-like superfamily protein/Tetratricopeptide repeat (TPR)-like superfamily protein/Sec1 family domain-containing protein MIP3/
Zm00001eb031300	Protein tesmin/TSO1-like CXC 4/Protein tesmin/TSO1-like CXC 4/Protein tesmin/TSO1-like CXC 2/Protein tesmin/TSO1-like CXC 4 (Tesmin/TSO1-like CXC domain containing protein)/
Zm00001eb031310	Protein tesmin/TSO1-like CXC 2/Protein tesmin/TSO1-like CXC 2/CRC domain-containing protein TSO1/CRC domain-containing protein/
Zm00001eb031360	Homocysteine S-methyltransferase 2/Homocysteine S-methyltransferase 2/Homocysteine S-methyltransferase 2 (Homocysteine S-methyltransferase 3)/Homocysteine S-methyltransferase 2 (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase 2) (SMM:Hcy S-methyltransferase 2) (ZmHMT-2)/
Zm00001eb031410	Cell-cell signaling protein csgA-like/Cell-cell signaling protein csgA-like/Putative oxidoreductase C663.09c/
Zm00001eb031520	Transducin/WD40 repeat-like superfamily protein/Transducin/WD40 repeat-like superfamily protein/WD repeat-containing protein 75/
Zm00001eb031560	Transcription factor PIF4/Transcription factor PIF4/Transcription factor PIF3/BHLH domain-containing protein/
Zm00001eb031610	Patatin-like protein 6/Patatin-like protein 6/Patatin-like protein 3/
Zm00001eb031690	Retrovirus-related Pol polyprotein LINE-1/Retrovirus-related Pol polyprotein LINE-1/Nuclear transcription factor Y subunit/
Zm00001eb031760	Protein kinase PINOID/Protein kinase PINOID/Protein kinase G11A/Barren inflorescence2 (Protein kinase PINOID)/
Zm00001eb031820	Kinesin-like protein/Kinesin-like protein/Di-glucose binding protein with Kinesin motor domain (Fragment)/Uncharacterized protein/
Zm00001eb031850	Cation/H(+) antiporter 19/Cation/H(+) antiporter 19/Deleted./
Zm00001eb031890	Deleted./Uncharacterized protein/
Zm00001eb031930	NagB/RpiA/CoA transferase-like superfamily protein/NagB/RpiA/CoA transferase-like superfamily protein/Translation initiation factor eIF-2B subunit delta/
Zm00001eb031980	GTP binding protein/GTP binding protein/GTPase LSG1-2/Uncharacterized protein/CP-type G domain-containing protein (Fragment)/
Zm00001eb032040	Mitochondrial ribosomal protein L27/Mitochondrial ribosomal protein L27/Uncharacterized protein/
Zm00001eb032060	Methyl-CpG-binding domain-containing protein 10/Methyl-CpG-binding domain-containing protein 10/Methyl binding domain106 (Putative methyl-binding domain protein MBD106)/
Zm00001eb032110	Putative axial regulator YABBY 2/Putative axial regulator YABBY 2/Protein YABBY 6/C2C2-YABBY transcription factor (Putative axial regulator YABBY 2)/Axial regulator YABBY2/Uncharacterized protein/
Zm00001eb032280	Cysteine dioxygenase (EC 1.13.11.20)/Cysteine dioxygenase (EC 1.13.11.20)/Cupin, RmlC-type/
Zm00001eb032290	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase (EC 2.1.1.14)/5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase (EC 2.1.1.14)/5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase (EC 2.1.1.14) (Fragment)/
Zm00001eb032330	K-exchanger-like protein/K-exchanger-like protein/Cation/calcium exchanger 1/
Zm00001eb032340	Copper transport protein ATX1/Copper transport protein ATX1/Copper chaperone (Copper transport protein ATX1)/Copper chaperone/
Zm00001eb032380	Cysteine synthase2/Cysteine synthase2/Cysteine synthase/Cysteine synthase (EC 2.5.1.47)/PALP domain-containing protein/Cysteine synthase (CSase) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase) (OAS-TL) (O-acetylserine sulfhydrylase)/
Zm00001eb032430	Uncharacterized protein/Uncharacterized protein/DUF659 domain-containing protein/
Zm00001eb032520	Thaumatin-like pathogenesis-related protein 3/Thaumatin-like pathogenesis-related protein 3/Osmotin-like protein OSM34/Thaumatin-like protein/
Zm00001eb032550	Aminopeptidase/Aminopeptidase/Uncharacterized protein/
Zm00001eb032600	Thaumatin-like protein/Thaumatin-like protein/Pathogenesis related protein5/Pathogenesis-related protein 5/Pathogenesis related protein-5/
Zm00001eb032640	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein/Haloacid dehalogenase-like hydrolase (HAD) superfamily protein/Uncharacterized protein/
Zm00001eb032670	Transcription factor bHLH28/Transcription factor bHLH28/Transcription factor bHLH18/BHLH transcription factor (Transcription factor bHLH28)/
Zm00001eb032720	DnaJ protein ERDJ3A/DnaJ protein ERDJ3A/O-fucosyltransferase family protein/Putative glucuronosyltransferase/
Zm00001eb032750	Ubiquitin-protein ligase/ zinc ion binding protein/Ubiquitin-protein ligase/ zinc ion binding protein/ATP-dependent RNA helicase DEAH12, chloroplastic/
Zm00001eb032760	Ras-related protein RABD1/Ras-related protein RABD1/Ras-related protein RABF2b/Ras-related protein RHN1/
Zm00001eb032850	VQ motif family protein/VQ motif family protein/VQ domain-containing protein/
Zm00001eb032870	BZIP transcription factor family protein expressed/BZIP transcription factor family protein expressed/BZIP domain-containing protein/
Zm00001eb032930	Ergosterol biosynthetic protein 28/Ergosterol biosynthetic protein 28/Erg28 like protein/
Zm00001eb032970	Soluble epoxide hydrolase/Soluble epoxide hydrolase/AB hydrolase-1 domain-containing protein/Epoxide hydrolase A/Uncharacterized protein/Alpha/beta-Hydrolases superfamily protein (Epoxide hydrolase 2)/
Zm00001eb033040	Uncharacterized protein/Uncharacterized protein/NB-ARC domain containing protein expressed/Disease resistance protein RPM1/
Zm00001eb033060	Acetyl-CoA acetyltransferase, cytosolic 1/
Zm00001eb033100	FAD/NAD(P)-binding oxidoreductase family protein/FAD/NAD(P)-binding oxidoreductase family protein/Uncharacterized protein YtfP (Fragment)/Uncharacterized protein/
Zm00001eb033110	Pentatricopeptide repeat*-GRMZM2G475897/Pentatricopeptide repeat*-GRMZM2G475897/Pentatricopeptide repeat-containing protein/Smr domain-containing protein/
Zm00001eb033120	1,4-dihydroxy-2-naphthoyl-CoA thioesterase 1/
Zm00001eb033130	AAA-ATPase ASD, mitochondrial/
Zm00001eb033140	Cell Division Protein AAA ATPase family/Cell Division Protein AAA ATPase family/AAA-ATPase ASD, mitochondrial/
Zm00001eb033230	Protein kinase superfamily protein/Protein kinase superfamily protein/Non-specific serine/threonine protein kinase (EC 2.7.11.1)/Non-specific serine/threonine protein kinase (EC 2.7.11.1) (Fragment)/Protein kinase superfamily protein (Fragment)/Serine/threonine-protein kinase PRP4/
Zm00001eb033240	Sodium/hydrogen exchanger 7/Sodium/hydrogen exchanger 7/Na+/H+ antiporter (Sodium/hydrogen exchanger 7)/
Zm00001eb033400	GTP cyclohydrolase II (EC 3.5.4.25) (GTP cyclohydrolase-2)/GTP cyclohydrolase II (EC 3.5.4.25) (GTP cyclohydrolase-2)/Monofunctional riboflavin biosynthesis protein RIBA 3 chloroplastic/Putative bifunctional riboflavin biosynthesis protein RIBA 1, chloroplastic/
Zm00001eb033410	LETM1-like protein/LETM1-like protein/LETM1 and EF-hand domain-containing protein anon-60Da, mitochondrial/
Zm00001eb033470	RNA-binding protein CP33, chloroplastic/
Zm00001eb033480	Uncharacterized protein/Uncharacterized protein/
Zm00001eb033550	S-adenosyl-L-methionine-dependent methyltransferase superfamily protein/S-adenosyl-L-methionine-dependent methyltransferase superfamily protein/SAM_MT_RSMB_NOP domain-containing protein/tRNA (Cytosine(34)-C(5))-methyltransferase/
Zm00001eb033580	Aldolase-type TIM barrel family protein/Aldolase-type TIM barrel family protein/Putative nitronate monooxygenase/Aldolase-type TIM barrel family protein (Oxidoreductase)/
Zm00001eb033600	Serine/arginine-rich splicing factor SC35/Serine/arginine-rich splicing factor SC35/Arginine/serine-rich splicing factor SC32 transcript I (Serine/arginine-rich splicing factor SC35)/Arginine/serine-rich splicing factor SC32 transcript II (Splicing factor, arginine/serine-rich 2)/Splicing factor, arginine/serine-rich 2/Arginine/serine-rich splicing factor SC32 transcript III/
Zm00001eb033640	E3 ubiquitin-protein ligase CIP8/E3 ubiquitin-protein ligase CIP8/RING-type domain-containing protein/Ubiquitin-protein ligase CIP8/RING/U-box superfamily protein/
Zm00001eb033650	Putative GMP synthase [glutamine-hydrolyzing]/Putative GMP synthase [glutamine-hydrolyzing]/DNA glycosylase superfamily protein (GMP synthase)/Uncharacterized protein/
Zm00001eb033670	Dof zinc finger protein MNB1A/Dof zinc finger protein MNB1A/Dof zinc finger protein DOF1.6 (Dof zinc finger protein MNB1A)/DOF1/
Zm00001eb033690	RNA-binding (RRM/RBD/RNP motifs) family protein/RNA-binding (RRM/RBD/RNP motifs) family protein/Protein gar2/
Zm00001eb033700	RNA-binding (RRM/RBD/RNP motifs) family protein/RNA-binding (RRM/RBD/RNP motifs) family protein/Protein gar2/
Zm00001eb033820	Elongator complex protein 2/Elongator complex protein 2/Uncharacterized protein/
Zm00001eb033870	Putative galactinol--sucrose galactosyltransferase 1/Putative galactinol--sucrose galactosyltransferase 1/Uncharacterized protein/Alkaline alpha galactosidase 3 (EC 2.4.1.82)/
Zm00001eb033900	Cytochrome c oxidase assembly protein COX15/Cytochrome c oxidase assembly protein COX15/Uncharacterized protein/
Zm00001eb033930	BURP2/BURP2/RAFTIN1a protein/Protein RAFTIN 1A (Fragment)/
Zm00001eb033960	Phosphatidylinositol/phosphatidylcholine transfer protein SFH13/Phosphatidylinositol/phosphatidylcholine transfer protein SFH13/Phosphatidylinositol/phosphatidylcholine transfer protein SFH6/CRAL-TRIO domain-containing protein/
Zm00001eb034010	Chloride channel protein/Chloride channel protein/Chloride channel protein CLC-f/p-loop containing nucleoside triphosphate hydrolase superfamily protein/
Zm00001eb034030	Pentatricopeptide repeat-containing protein mitochondrial/Pentatricopeptide repeat-containing protein mitochondrial/Pentatricopeptide repeat-containing protein/
Zm00001eb034090	Cir_N domain-containing protein/Cir_N domain-containing protein/CBF1-interacting co-repressor CIR N-terminal/
Zm00001eb034120	Ankyrin repeat family protein/Ankyrin repeat family protein/Ankyrin-3/Ankyrin repeat and SOCS box protein 3/Uncharacterized protein/
Zm00001eb034260	Serine--glyoxylate aminotransferase/Serine--glyoxylate aminotransferase/Alanine--glyoxylate transaminase (EC 2.6.1.44)/Serine--glyoxylate aminotransferase (SGAT) (EC 2.6.1.45) (Alanine--glyoxylate aminotransferase) (AGT) (EC 2.6.1.44) (Fragments)/
Zm00001eb034370	Protein kinase superfamily protein/Protein kinase superfamily protein/Wall-associated receptor kinase 3/
Zm00001eb034410	S-locus lectin kinase family protein/S-locus lectin kinase family protein/Receptor-like serine/threonine-protein kinase (EC 2.7.11.1)/
Zm00001eb034570	Serine--glyoxylate aminotransferase/Serine--glyoxylate aminotransferase/Alanine--glyoxylate transaminase (EC 2.6.1.44)/
Zm00001eb034730	Uncharacterized protein/Uncharacterized protein/p-loop containing nucleoside triphosphate hydrolase superfamily protein/
Zm00001eb034760	Zinc finger A20 and AN1 domain-containing stress-associated protein 1/Zinc finger A20 and AN1 domain-containing stress-associated protein 1/AN15/AN110/Zinc finger A20 and AN1 domain-containing stress-associated protein 5/Multiple stress-responsive zinc-finger protein ISAP1/
Zm00001eb034800	Leucine-rich repeat receptor-like protein kinase PEPR1/Leucine-rich repeat receptor-like protein kinase PEPR1/Leucine-rich repeat receptor-like protein kinase PEPR2/
Zm00001eb034810	Monogalactosyldiacylglycerol synthase 2 chloroplastic/Monogalactosyldiacylglycerol synthase 2 chloroplastic/Monogalactosyldiacylglycerol synthase (EC 2.4.1.46)/
Zm00001eb034820	PfkB-like carbohydrate kinase family protein/PfkB-like carbohydrate kinase family protein/Sulfofructose kinase/Uncharacterized protein/PfkB domain-containing protein/
Zm00001eb034830	PfkB-like carbohydrate kinase family protein/PfkB-like carbohydrate kinase family protein/Uncharacterized protein/60S ribosomal protein L31 (PfkB-like carbohydrate kinase family protein)/
Zm00001eb034850	Uncharacterized protein/Uncharacterized protein/Complex I subunit/
Zm00001eb034980	ETHYLENE INSENSITIVE 3-like 3 protein/ETHYLENE INSENSITIVE 3-like 3 protein/Uncharacterized protein/Ethylene-insensitive3-like protein/
Zm00001eb035020	Uncharacterized protein C6F6.19/Uncharacterized protein C6F6.19/D111/G-patch domain-containing protein/Nucleic acid binding protein/
Zm00001eb035040	3-oxoacyl-reductase/3-oxoacyl-reductase/3-oxoacyl-[acyl-carrier-protein] reductase FabG/Uncharacterized protein/
Zm00001eb035050	DNA-binding bromodomain-containing protein/DNA-binding bromodomain-containing protein/Bromo domain-containing protein/
Zm00001eb035130	Required to maintain repression6/Required to maintain repression6/DNA-directed RNA polymerase IV subunit 1/Uncharacterized protein/
Zm00001eb035230	Plant intracellular Ras-group-related LRR protein 4/Plant intracellular Ras-group-related LRR protein 4/Uncharacterized protein/
Zm00001eb035270	Serine/threonine-protein kinase pakG/Serine/threonine-protein kinase pakG/Uncharacterized protein/
Zm00001eb035340	PsbP domain-containing protein 3 chloroplastic/PsbP domain-containing protein 3 chloroplastic/
Zm00001eb035360	Uncharacterized protein/Uncharacterized protein/Serine/threonine-protein phosphatase (EC 3.1.3.16)/Serine/threonine-protein phosphatase 7/SER_THR_PHOSPHATASE domain-containing protein/
Zm00001eb035440	Putative L-ascorbate peroxidase 6/Putative L-ascorbate peroxidase 6/L-ascorbate peroxidase (EC 1.11.1.11)/Peroxidase (EC 1.11.1.7)/
Zm00001eb035520	Uncharacterized protein/Uncharacterized protein/Myb_DNA-bind_3 domain-containing protein/
Zm00001eb035650	Methyltransferase-like protein 13/Methyltransferase-like protein 13/Uncharacterized protein/S-adenosyl-L-methionine-dependent methyltransferase superfamily protein/
Zm00001eb035660	Oligouridylate-binding protein 1C/Oligouridylate-binding protein 1C/Oligouridylate-binding protein 1B/mRNA 3-UTR binding protein/
Zm00001eb035670	Pentatricopeptide repeat-containing protein/Pentatricopeptide repeat-containing protein/Tubby-like F-box protein 10/60S ribosomal protein L18a-2/
Zm00001eb035700	Pumilio homolog 5/Pumilio homolog 5/Pumilio 5/
Zm00001eb035750	Ypt/Rab-GAP domain of gyp1p superfamily protein/Ypt/Rab-GAP domain of gyp1p superfamily protein/TBC1 domain family member 5 A/
Zm00001eb035800	Pyridoxamine 5'-phosphate oxidase family protein/Pyridoxamine 5'-phosphate oxidase family protein/Uncharacterized protein/Pyridoxamine 5-phosphate oxidase-related/
Zm00001eb035820	Serrate RNA effector molecule/Serrate RNA effector molecule/C2H2-type domain-containing protein/C2H2 zinc-finger protein (Fragment)/
Zm00001eb035970	Cytochrome b561 and DOMON domain-containing protein/Cytochrome b561 and DOMON domain-containing protein/DOMON domain-containing protein/
Zm00001eb036020	60S ribosomal protein L32-1/60S ribosomal protein L32-1/60S ribosomal protein L32/
Zm00001eb036050	Ras-related protein RABA6a/Ras-related protein RABA6a/Ras-related protein RABA5c/Ras-related protein ARA-4/
Zm00001eb036140	FK506-binding protein 2-1/FK506-binding protein 2-1/Uncharacterized protein/
Zm00001eb036180	DNA binding protein/DNA binding protein/Uncharacterized protein/
Zm00001eb036250	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH5/Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH5/Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH5 (Fragment)/SAM domain family protein/
Zm00001eb036270	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH5/Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH5/Uncharacterized protein/Uncharacterized protein/Receptor-like kinase-like/
Zm00001eb036510	Nucleotide-diphospho-sugar transferase family protein (Fragment)/Nucleotide-diphospho-sugar transferase family protein (Fragment)/Nucleotid_trans domain-containing protein/
Zm00001eb036530	Ribosomal protein L17c/Ribosomal protein L17c/60S ribosomal protein L17/
Zm00001eb036710	Major facilitator superfamily protein/Major facilitator superfamily protein/Nodulin-like protein/
Zm00001eb036780	ACR4/ACR4/ACT domain-containing protein ACR4/Uncharacterized protein/
Zm00001eb036840	Ribosomal RNA-processing protein 43/Ribosomal RNA-processing protein 43/3'-5'-exoribonuclease family protein/Exosome complex component RRP43/Uncharacterized protein/
Zm00001eb036970	Orphans transcription factor (Fragment)/Orphans transcription factor (Fragment)/Zinc finger protein CONSTANS-LIKE 15/Uncharacterized protein/CCT domain-containing protein/B box-type domain-containing protein/
Zm00001eb036990	BHLH transcription factor (Transcription factor bHLH137)/Transcription factor bHLH137/BHLH transcription factor (Transcription factor bHLH137)/BHLH transcription factor GBOF-1/
Zm00001eb037000	In2-2 protein/In2-2 protein/Putative aldo-keto reductase 4/Putative aldo-keto reductase 2/
Zm00001eb037010	Discolored-paralog2/Discolored-paralog2/ADP-ribosylation factor GTPase-activating protein AGD3/
Zm00001eb037040	Ethylene-responsive transcription factor ERF112/Ethylene-responsive transcription factor ERF112/Ethylene-responsive transcription factor ERF114/
Zm00001eb037080	Chitin elicitor receptor kinase 1/Chitin elicitor receptor kinase 1/LysM domain receptor-like kinase 3/LysM receptor-like kinase/Uncharacterized protein/
Zm00001eb037170	RING/U-box superfamily protein/RING/U-box superfamily protein/RING-type domain-containing protein/VIP2 protein/
Zm00001eb037190	Uncharacterized protein/Uncharacterized protein/Phospholipid--sterol O-acyltransferase/
Zm00001eb037290	Putative transcription factor PosF21/Putative transcription factor PosF21/Transcription factor RF2a/BZIP domain-containing protein/
Zm00001eb037330	60S ribosomal protein L7-1/60S ribosomal protein L7-1/Uncharacterized protein/
Zm00001eb037350	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein/Haloacid dehalogenase-like hydrolase (HAD) superfamily protein/Uncharacterized protein/HAD-superfamily hydrolase, subfamily IIA (Haloacid dehalogenase-like hydrolase (HAD) superfamily protein)/HAD-superfamily hydrolase, subfamily IIA/
Zm00001eb037360	Ankyrin repeat-containing protein/Ankyrin repeat-containing protein/Protein binding protein/Ankyrin repeat family protein/
Zm00001eb037420	Uncharacterized protein/Uncharacterized protein/Uncharacterized protein (Fragment)/
Zm00001eb037450	Transcription factor BIM2/Transcription factor BIM2/Pentatricopeptide repeat-containing protein/Uncharacterized protein/
Zm00001eb037540	TraB family protein/TraB family protein/Uncharacterized protein/
Zm00001eb037580	GDSL-like lipase/acylhydrolase/GDSL-like lipase/acylhydrolase/ATP-dependent DNA helicase (EC 3.6.4.12)/
Zm00001eb037670	Homeobox-leucine zipper protein HAT3/Homeobox-leucine zipper protein HAT3/Homeobox-leucine zipper protein HOX27/
Zm00001eb037710	Uncharacterized protein/Uncharacterized protein/Protein XRI1/
Zm00001eb037740	Clathrin assembly protein/Clathrin assembly protein/Putative clathrin assembly protein/
Zm00001eb037860	Nitrate reductase [NADH] 2/Nitrate reductase [NADH] 2/Nitrate reductase [NADH] 1/
Zm00001eb037980	Protein DJ-1 homolog C/Protein DJ-1 homolog C/Protein DJ-1 C/Uncharacterized protein/
Zm00001eb038040	Putative fucosyltransferase-like protein/Putative fucosyltransferase-like protein/3-alpha-L-fucosyltransferase/Glycoprotein 3-alpha-L-fucosyltransferase A/Uncharacterized protein/
Zm00001eb038100	BRI1 kinase inhibitor 1/BRI1 kinase inhibitor 1/Putative BRI1 kinase inhibitor 1/
Zm00001eb038180	Putative carboxylesterase 13/Putative carboxylesterase 13/Putative carboxylesterase 2/Gibberellin receptor GID1L2/
Zm00001eb038210	Uncharacterized protein/Uncharacterized protein/RCC1 and BTB domain-containing protein 2/Histone deacetylase 5/Lzipper-MIP1 domain-containing protein/DUF547 domain-containing protein/
Zm00001eb038220	NAD(P)-binding Rossmann-fold superfamily protein (Fragment)/NAD(P)-binding Rossmann-fold superfamily protein (Fragment)/3-oxoacyl-[acyl-carrier-protein] reductase FabG/NAD(P)-binding Rossmann-fold superfamily protein (Short-chain dehydrogenase/reductase SDR)/Uncharacterized protein/
Zm00001eb038230	Metal-independent phosphoserine phosphatase/Metal-independent phosphoserine phosphatase/Phosphoglycerate mutase-like protein 4/Phosphoglycerate mutase gpmB/Uncharacterized protein/
Zm00001eb038300	Uncharacterized protein/Uncharacterized protein/Sodium channel modifier 1/
Zm00001eb038310	PWWP domain protein/PWWP domain protein/PWWP domain-containing protein/
Zm00001eb038350	Ribosomal protein S5 domain 2-like superfamily protein/Ribosomal protein S5 domain 2-like superfamily protein/IMPACT family member in pol 5'region/UPF0029 domain-containing protein/
Zm00001eb038370	ATP synthase subunit d, mitochondrial/
Zm00001eb038430	Cyclin-D2-1/Cyclin-D2-1/Cyclin-D4-2/Cyclin N-terminal domain-containing protein/Cyclin_C domain-containing protein/D-type cyclin/
Zm00001eb038510	PMP/PMP/Uncharacterized protein/
Zm00001eb038560	Mitochondrial import receptor subunit TOM9-2/Mitochondrial import receptor subunit TOM9-2/Mitochondrial import receptor subunit TOM22/
Zm00001eb038580	NEP-interacting protein 1/NEP-interacting protein 1/Uncharacterized protein/Carboxyl-terminal proteinase/
Zm00001eb038600	Thiaminase2 (Fragment)/Thiaminase2 (Fragment)/Thiaminase2/Bifunctional TH2 protein, mitochondrial/TENA_THI-4 domain-containing protein/
Zm00001eb038620	Glutaredoxin-C5 chloroplastic/Glutaredoxin-C5 chloroplastic/Grx_S12-glutaredoxin subgroup I/
Zm00001eb038640	Histone-lysine N-methyltransferase family member SUVH9/Histone-lysine N-methyltransferase family member SUVH9/Uncharacterized protein/
Zm00001eb038650	7-hydroxymethyl chlorophyll a reductase chloroplastic/7-hydroxymethyl chlorophyll a reductase chloroplastic/7-hydroxymethyl chlorophyll a reductase, chloroplastic/Uncharacterized protein/
Zm00001eb038670	Mediator of RNA polymerase II transcription subunit 15a/Mediator of RNA polymerase II transcription subunit 15a/Uncharacterized protein/KIX_2 domain-containing protein/
Zm00001eb038700	Zinc finger (C2H2 type) family protein/Zinc finger (C2H2 type) family protein/Zinc finger protein 593/U1-type domain-containing protein/
Zm00001eb038710	Brachytic2/Brachytic2/Bracyhtic 2 (Fragment)/Brachytic 2/ABC transporter B family member 19/ABC transporter domain-containing protein/PGP1/
Zm00001eb038750	Gamma-glutamylcyclotransferase (EC 4.3.2.9)/Gamma-glutamylcyclotransferase (EC 4.3.2.9)/Putative mitochondrial-processing peptidase subunit beta, mitochondrial/
Zm00001eb038780	Uncharacterized protein/Uncharacterized protein/Early nodulin 75 protein/
Zm00001eb038860	AT-hook motif nuclear-localized protein/AT-hook motif nuclear-localized protein/AT-hook motif nuclear-localized protein 20/Uncharacterized protein/
Zm00001eb038870	Peptidase M1 family protein/Peptidase M1 family protein/Puromycin-sensitive aminopeptidase/Uncharacterized protein/
Zm00001eb039010	BURP3/BURP3/BURP domain protein RD22/BURP domain-containing protein 11/BURP domain-containing protein/Uncharacterized protein/
Zm00001eb039080	30S ribosomal protein S4, chloroplastic/
Zm00001eb039200	NAD(P)H-quinone oxidoreductase subunit K, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit K) (NADH-plastoquinone oxidoreductase subunit K)/
Zm00001eb039310	Dihydroxy-acid dehydratase chloroplastic/Dihydroxy-acid dehydratase chloroplastic/Dihydroxy-acid dehydratase, chloroplastic/
Zm00001eb039340	Signal peptide peptidase-like 1/Signal peptide peptidase-like 1/Signal peptide peptidase-like 1 (Signal peptide peptidase-like 3)/Uncharacterized protein/
Zm00001eb039380	40S ribosomal protein S25-2/40S ribosomal protein S25-2/40S ribosomal protein S25/
Zm00001eb039590	Histidine-containing phosphotransfer protein 1/Histidine-containing phosphotransfer protein 1/Histidine-containing phosphotransfer protein (Histidine-containing phosphotransfer protein 1) (Histidine-containing phosphotransfer protein 5)/
Zm00001eb039620	Cytochrome c1 1 heme protein mitochondrial/Cytochrome c1 1 heme protein mitochondrial/Cytochrome c1-1, heme protein, mitochondrial/Cytochrome c domain-containing protein/Cytochrome c1, heme protein/
Zm00001eb039650	Vignain/Vignain/KDEL-tailed cysteine endopeptidase CEP1/Pept_C1 domain-containing protein/
Zm00001eb039670	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5-B/NADH dehydrogenase [ubiquinone] iron-sulfur protein 5-B/Fb14/
Zm00001eb039810	Indeterminate domain p1/Indeterminate domain p1/Protein indeterminate-domain 5, chloroplastic/INDETERMINATE-related protein 1/C2H2-type domain-containing protein/
Zm00001eb039820	Rhamnogalacturonan endolyase (EC 4.2.2.23)/Rhamnogalacturonan endolyase (EC 4.2.2.23)/Uncharacterized protein/
Zm00001eb040140	Chaperone protein dnaJ 11, chloroplastic/
Zm00001eb040160	Myb domain protein 85/Myb domain protein 85/Uncharacterized protein/MYB transcription factor/
Zm00001eb040250	Ypt/Rab-GAP domain of gyp1p superfamily protein/Ypt/Rab-GAP domain of gyp1p superfamily protein/GTPase-activating protein GYP7/Rab-GAP TBC domain-containing protein/
Zm00001eb040310	12-oxo-phytodienoic acid reductase7/12-oxo-phytodienoic acid reductase7/12-oxophytodienoate reductase 7/12-oxo-phytodienoic acid reductase (12-oxo-phytodienoic acid reductase7)/
Zm00001eb040380	MTD1/MTD1/Uncharacterized protein/
