	bwnet_20$colors		ensembl_id	uniprot_function
Zm00001eb041600	brown		Zm00001eb044880	Tonoplast intrinsic protein3/Tonoplast intrinsic protein3/Aquaporin TIP3-2/Aquaporin TIP3.1/Aquaporin TIP3-2 (Tonoplast intrinsic protein 3-2) (ZmTIP3-2) (ZmTIP3;2)/
Zm00001eb041610	green		Zm00001eb045190	Uncharacterized protein/
Zm00001eb041650	turquoise		Zm00001eb045200	DNA ligase (EC 6.5.1.1)/DNA ligase (EC 6.5.1.1)/DNA ligase/
Zm00001eb041680	blue		Zm00001eb045210	Protein arginine methyltransferase 6 (Fragment)/Protein arginine methyltransferase 6 (Fragment)/Uncharacterized protein/
Zm00001eb041690	cyan		Zm00001eb045320	Putative prefoldin subunit 5/Putative prefoldin subunit 5/Prefoldin subunit 5/
Zm00001eb041710	salmon		Zm00001eb045330	Uncharacterized protein/
Zm00001eb041730	green		Zm00001eb045360	Uncharacterized protein/
Zm00001eb041740	cyan		Zm00001eb045370	Uncharacterized protein/
Zm00001eb041750	blue		Zm00001eb045380	Dicer-like 102/Dicer-like 102/Dicer-like 102 (Fragment)/Dicer-like 104/Endoribonuclease Dicer 3b/
Zm00001eb041760	blue		Zm00001eb045420	"Protein EXECUTER 1 chloroplastic/Protein EXECUTER 1 chloroplastic/Protein EXECUTER 1, chloroplastic/"
Zm00001eb041840	green		Zm00001eb045510	Uncharacterized protein/
Zm00001eb041850	paleturquoise		Zm00001eb045560	RING/U-box superfamily protein/RING/U-box superfamily protein/RING-CH-type domain-containing protein/
Zm00001eb041860	turquoise		Zm00001eb045570	Uncharacterized protein/
Zm00001eb041880	turquoise		Zm00001eb045580	Uncharacterized protein/
Zm00001eb042030	green		Zm00001eb045640	Auxin response factor 16/Auxin response factor 16/Auxin response factor/
Zm00001eb042050	pink		Zm00001eb045690	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)/
Zm00001eb042070	salmon		Zm00001eb045730	Tetratricopeptide repeat (TPR)-like superfamily protein/Tetratricopeptide repeat (TPR)-like superfamily protein/Putative pentatricopeptide repeat-containing protein/Uncharacterized protein/
Zm00001eb042120	blue		Zm00001eb045750	MATH domain containing protein (Orphans transcription factor) (Fragment)/MATH domain containing protein (Orphans transcription factor) (Fragment)/MATH domain containing protein/Uncharacterized protein/Ubiquitin carboxyl-terminal hydrolase 12/
Zm00001eb042160	blue		Zm00001eb045760	MATH domain containing protein/MATH domain containing protein/Ubiquitin carboxyl-terminal hydrolase 13/MATH domain-containing protein/
Zm00001eb042200	pink		Zm00001eb045770	Uncharacterized protein/
Zm00001eb042250	salmon		Zm00001eb045790	"Malate dehydrogenase (EC 1.1.1.37)/Malate dehydrogenase (EC 1.1.1.37)/Malate dehydrogenase (Fragment)/Malate dehydrogenase, cytoplasmic (EC 1.1.1.37)/"
Zm00001eb042280	tan		Zm00001eb045800	Protein G1-like5/Protein G1-like5/Protein G1-like4/Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 3/
Zm00001eb042350	green		Zm00001eb045860	Methyltransferase (EC 2.1.1.-)/
Zm00001eb042370	salmon		Zm00001eb045880	Pentatricopeptide repeat-containing protein/
Zm00001eb042400	green		Zm00001eb045890	Serine/threonine protein phosphatase 2A regulatory subunit B''alpha/
Zm00001eb042450	brown		Zm00001eb045900	Uncharacterized protein/
Zm00001eb042570	salmon		Zm00001eb045910	Vacuolar protein sorting-associated protein 2 homolog 3/Vacuolar protein sorting-associated protein 2 homolog 3/Vacuolar protein sorting-associated protein 2 3/Charged multivesicular body protein 2b (Vacuolar protein sorting-associated protein 2 homolog 3)/
Zm00001eb042590	brown		Zm00001eb045930	Casein kinase 1-like protein 6/Casein kinase 1-like protein 6/Casein kinase 1-like protein 6 (Fragment)/Casein kinase 1/
Zm00001eb042630	tan		Zm00001eb045960	Long-chain-alcohol oxidase (EC 1.1.3.20)/Long-chain-alcohol oxidase (EC 1.1.3.20)/Uncharacterized protein/
Zm00001eb042700	blue		Zm00001eb046010	Uncharacterized protein/
Zm00001eb042730	green		Zm00001eb046020	Disease resistance RPP13-like protein 4/Disease resistance RPP13-like protein 4/Putative disease resistance protein RGA3/
Zm00001eb042750	turquoise		Zm00001eb046040	Beta-glucosidase GBA2 type family protein/Beta-glucosidase GBA2 type family protein/Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45)/Non-lysosomal glucosylceramidase/Uncharacterized protein/DUF608 domain-containing protein/
Zm00001eb042760	tan		Zm00001eb046070	"Uncharacterized protein/Uncharacterized protein/Calcium uptake protein, mitochondrial/"
Zm00001eb042770	green		Zm00001eb046080	Cyclin-dependent kinase inhibitor1/Cyclin-dependent kinase inhibitor1/Cyclin-dependent kinase inhibitor/
Zm00001eb042830	green		Zm00001eb046090	Uncharacterized protein/Uncharacterized protein/Putative 60S ribosomal protein L14/
Zm00001eb042900	green		Zm00001eb046100	Transport protein particle (TRAPP) component/Transport protein particle (TRAPP) component/No pollen germination related 2/Protein NPGR2/
Zm00001eb043000	salmon		Zm00001eb046110	DExH-box ATP-dependent RNA helicase DExH1/
Zm00001eb043100	brown		Zm00001eb046160	Heterogeneous nuclear ribonucleoprotein 1/
Zm00001eb043120	tan		Zm00001eb046170	Protein NRT1/ PTR FAMILY 5.2/
Zm00001eb043150	green		Zm00001eb046200	SH3 domain-containing protein/SH3 domain-containing protein/Aspartic proteinase A1/Aspartic proteinase oryzasin-1/Uncharacterized protein/
Zm00001eb043220	blue		Zm00001eb046210	Protein NRT1/ PTR FAMILY 5.2/
Zm00001eb043230	brown		Zm00001eb046280	Zinc finger (C3HC4-type RING finger) family protein/Zinc finger (C3HC4-type RING finger) family protein/Uncharacterized protein sll0103/VWFA domain-containing protein/
Zm00001eb043360	pink		Zm00001eb046340	60S ribosomal protein L21-1/60S ribosomal protein L21-1/60S ribosomal protein L21-2/60S ribosomal protein L21/
Zm00001eb043390	green		Zm00001eb046420	Peroxin-12/Peroxin-12/Peroxisome biogenesis protein 12 (Peroxin-12)/Peroxisome biogenesis protein 12/
Zm00001eb043420	turquoise		Zm00001eb046430	mRNA cap-binding protein/
Zm00001eb043440	green		Zm00001eb046440	Cellulose synthase (EC 2.4.1.12) (Fragment)/Cellulose synthase (EC 2.4.1.12) (Fragment)/Cellulose synthase (EC 2.4.1.12)/Cellulose synthase A catalytic subunit 8 [UDP-forming]/Cellulose synthase10/
Zm00001eb043460	salmon		Zm00001eb046510	Uncharacterized protein/Uncharacterized protein/DUF1338 domain-containing protein/
Zm00001eb043480	turquoise		Zm00001eb046560	Phloem-specific lectin/Phloem-specific lectin/F-box protein VBF/F-box protein PP2-B1/
Zm00001eb043620	pink		Zm00001eb046590	Plastid transcriptionally active 3/Plastid transcriptionally active 3/Pentatricopeptide repeat-containing protein/
Zm00001eb043650	salmon		Zm00001eb046710	Uncharacterized protein/
Zm00001eb043660	turquoise		Zm00001eb046720	Uncharacterized protein/
Zm00001eb043670	turquoise		Zm00001eb046770	Subtilisin-like protease SBT2.6/Subtilisin-like protease SBT2.6/26S proteasome non-ATPase regulatory subunit 2 A/Peptidase_S8 domain-containing protein/
Zm00001eb043680	pink		Zm00001eb046790	Glutamate-ammonia ligase/Glutamate-ammonia ligase/Protein fluG/
Zm00001eb043690	turquoise		Zm00001eb046840	O-fucosyltransferase family protein/
Zm00001eb043700	tan		Zm00001eb046860	Small GTP-binding protein domain/Small GTP-binding protein domain/Uncharacterized protein/
Zm00001eb043730	blue		Zm00001eb046890	Uncharacterized protein/
Zm00001eb043750	brown		Zm00001eb046960	Citrate transporter family protein/Citrate transporter family protein/Putative transporter arsB/CitMHS domain-containing protein/
Zm00001eb043820	blue		Zm00001eb046980	Ubiquitin-conjugating enzyme E2 4/Ubiquitin-conjugating enzyme E2 4/Ubiquitin-conjugating enzyme E2 5/Ubiquitin-conjugating enzyme E2-21 kDa 1/Ubiquitin-conjugating enzyme E2 4 (Ubiquitin-conjugating enzyme E2-21 kDa 1)/Uncharacterized protein/
Zm00001eb043850	lightyellow		Zm00001eb047010	WRC domain-containing protein/
Zm00001eb043910	salmon		Zm00001eb047030	Orphans transcription factor (Fragment)/Orphans transcription factor (Fragment)/WRC domain-containing protein/Growth-regulating factor 10/
Zm00001eb043920	salmon		Zm00001eb047070	Phosphate transporter protein1/Phosphate transporter protein1/H(+)/Pi cotransporter/
Zm00001eb043930	green		Zm00001eb047140	ABC transporter G family member 24/ABC transporter G family member 24/ABC transporter G family member 25/
Zm00001eb043940	salmon		Zm00001eb047170	Cell division cycle protein 48/Cell division cycle protein 48/Cell division control protein 48 homolog D/ATP-dependent DNA helicase (EC 3.6.4.12)/AAA domain-containing protein/Cell division cycle protein 48 (Fragment)/
Zm00001eb043960	pink		Zm00001eb047240	Phosphoglycerate kinase (EC 2.7.2.3)/Phosphoglycerate kinase (EC 2.7.2.3)/Phosphoglycerate kinase/
Zm00001eb043970	green		Zm00001eb047270	L-type lectin-domain containing receptor kinase V.9/L-type lectin-domain containing receptor kinase V.9/L-type lectin-domain containing receptor kinase IV.1/
Zm00001eb043990	turquoise		Zm00001eb047310	Splicing factor CC1-like/Splicing factor CC1-like/RNA-binding protein 39/
Zm00001eb044020	turquoise		Zm00001eb047350	ADP-ribosylation factor GTPase-activating protein AGD3/ADP-ribosylation factor GTPase-activating protein AGD3/ADP-ribosylation factor GTPase-activating protein AGD3 (Fragment)/
Zm00001eb044040	green		Zm00001eb047390	Expansin/
Zm00001eb044060	green		Zm00001eb047400	Expansin/
Zm00001eb044070	lightyellow		Zm00001eb047410	Expansin/
Zm00001eb044100	turquoise		Zm00001eb047430	E3 ubiquitin-protein ligase RNF13/E3 ubiquitin-protein ligase RNF13/Protein binding protein/
Zm00001eb044110	tan		Zm00001eb047450	Anther-specific proline-rich protein APG/Anther-specific proline-rich protein APG/GDSL esterase/lipase EXL3/
Zm00001eb044130	green		Zm00001eb047490	Small heat shock-like protein/Small heat shock-like protein/Inactive protein RESTRICTED TEV MOVEMENT 2/
Zm00001eb044140	brown		Zm00001eb047560	Pentatricopeptide repeat-containing protein/Pentatricopeptide repeat-containing protein/Uncharacterized protein/
Zm00001eb044160	brown		Zm00001eb047570	Protein EMSY-LIKE 1/Protein EMSY-LIKE 1/Zinc-finger homeodomain protein 7/
Zm00001eb044170	turquoise		Zm00001eb047610	DWNN domain a CCHC-type zinc finger/DWNN domain a CCHC-type zinc finger/DWNN domain a CCHC-type zinc finger (Fragment)/E3 ubiquitin ligase PQT3-like/
Zm00001eb044190	pink		Zm00001eb047630	Hexose carrier protein HEX6/Hexose carrier protein HEX6/Sugar transport protein 3/
Zm00001eb044200	blue		Zm00001eb047650	Cellulose synthase A catalytic subunit 5 [UDP-forming]/Cellulose synthase A catalytic subunit 5 [UDP-forming]/Cellulose synthase-like protein D3/Putative mixed-linked glucan synthase 7/Putative cellulose synthase A catalytic subunit 5 [UDP-forming]/Putative cellulose synthase A catalytic subunit 11 [UDP-forming]/
Zm00001eb044210	green		Zm00001eb047660	Protein trichome birefringence-like 19/Protein trichome birefringence-like 19/TRICHOME BIREFRINGENCE-LIKE 20/PMR5N domain-containing protein/
Zm00001eb044240	turquoise		Zm00001eb047670	Uncharacterized protein/
Zm00001eb044260	turquoise		Zm00001eb047740	Uncharacterized protein/Uncharacterized protein/Putative aldo-keto reductase 1/Aldo_ket_red domain-containing protein/
Zm00001eb044280	turquoise		Zm00001eb047770	"12-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4/12-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4/1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD) (Fe-ARD)/"
Zm00001eb044330	brown		Zm00001eb047780	"Chlorophyllase-2, chloroplastic/"
Zm00001eb044350	pink		Zm00001eb047810	Oxidoreductase/Oxidoreductase/Alpha-ketoglutarate-dependent dioxygenase alkB 6/Fe2OG dioxygenase domain-containing protein/
Zm00001eb044370	pink		Zm00001eb047820	IQ-domain 19 (Orphans transcription factor) (Fragment)/IQ-domain 19 (Orphans transcription factor) (Fragment)/Protein IQ-DOMAIN 14/
Zm00001eb044390	turquoise		Zm00001eb047830	Protein NETWORKED 1A/Protein NETWORKED 1A/Protein NETWORKED 1D/
Zm00001eb044400	brown		Zm00001eb047840	Pentatricopeptide repeat-containing protein/Pentatricopeptide repeat-containing protein/Pentatricopeptide repeat-containing protein mitochondrial/
Zm00001eb044420	cyan		Zm00001eb047860	Type IV inositol polyphosphate 5-phosphatase 7/Type IV inositol polyphosphate 5-phosphatase 7/Type I inositol polyphosphate 5-phosphatase 4/
Zm00001eb044450	brown		Zm00001eb047880	Uncharacterized protein/
Zm00001eb044470	lightyellow		Zm00001eb047920	"Short integuments 2 mitochondrial/Short integuments 2 mitochondrial/Short integuments 2, mitochondrial/GTPase family protein/"
Zm00001eb044510	brown		Zm00001eb047970	3-ketoacyl-CoA synthase (EC 2.3.1.-)/3-ketoacyl-CoA synthase (EC 2.3.1.-)/FAE domain-containing protein/
Zm00001eb044520	lightyellow		Zm00001eb047980	"GDP-mannose 3,5-epimerase 1/"
Zm00001eb044580	blue		Zm00001eb047990	Uncharacterized protein/Uncharacterized protein/Plant-specific domain TIGR01615 family protein/
Zm00001eb044640	green		Zm00001eb048000	Acylamino-acid-releasing enzyme/Acylamino-acid-releasing enzyme/Acylamino-acid-releasing enzyme (Fragment)/Acylamino-acid-releasing enzyme 1/
Zm00001eb044650	brown		Zm00001eb048030	Myosin-binding protein 1/Myosin-binding protein 1/GTD-binding domain-containing protein/
Zm00001eb044660	tan		Zm00001eb048070	Exocyst complex component EXO84B/Exocyst complex component EXO84B/Protein ESKIMO 1/
Zm00001eb044710	blue		Zm00001eb048130	Protein DETOXIFICATION 16/Protein DETOXIFICATION 16/Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein)/
Zm00001eb044730	cyan		Zm00001eb048140	Thaumatin-like protein/Thaumatin-like protein/Osmotin-like protein/Uncharacterized protein/Pathogenesis-related thaumatin superfamily protein/
Zm00001eb044740	blue		Zm00001eb048210	Uncharacterized protein/
Zm00001eb044770	turquoise		Zm00001eb048230	IQ domain-containing protein IQM2/IQ domain-containing protein IQM2/IQ domain-containing protein IQM6/
Zm00001eb044780	blue		Zm00001eb048280	Histone-lysine N-methyltransferase ATXR4/Histone-lysine N-methyltransferase ATXR4/SET domain protein123/SET domain protein 123/
Zm00001eb044790	salmon		Zm00001eb048310	Pectinesterase (EC 3.1.1.11)/
Zm00001eb044820	blue		Zm00001eb048320	Uncharacterized protein/
Zm00001eb044830	brown		Zm00001eb048330	Uncharacterized protein/
Zm00001eb044860	lightsteelblue1		Zm00001eb048410	AvrRpt-cleavage domain-containing protein/
Zm00001eb044870	lightyellow		Zm00001eb048420	Protein kinase 2B chloroplastic/Protein kinase 2B chloroplastic/Putative serine/threonine-protein kinase PBL3/Uncharacterized protein/
Zm00001eb044880	green		Zm00001eb048440	Homeobox-leucine zipper protein HAT7/Homeobox-leucine zipper protein HAT7/Homeobox-leucine zipper protein HOX23/
Zm00001eb045190	blue		Zm00001eb048520	Uncharacterized protein/Uncharacterized protein/TPD1/
Zm00001eb045200	blue		Zm00001eb048600	Colon cancer-associated protein Mic1-like containing protein expressed/Colon cancer-associated protein Mic1-like containing protein expressed/Uncharacterized protein C18orf8/Mic1 domain-containing protein/
Zm00001eb045210	pink		Zm00001eb048660	F-box/LRR-repeat protein 15/F-box/LRR-repeat protein 15/F-box/LRR-repeat protein 15 (Fragment)/
Zm00001eb045320	green		Zm00001eb048680	Subtilisin-like protease SBT1.8/Subtilisin-like protease SBT1.8/Uncharacterized protein/
Zm00001eb045330	brown		Zm00001eb048700	Sterol methyltransferase1/Sterol methyltransferase1/Shewanella-like protein phosphatase 1/Putative serine/threonine protein phosphatase superfamily protein/
Zm00001eb045360	blue		Zm00001eb048730	SPX domain-containing protein 3/SPX domain-containing protein 3/SPX domain-containing protein 5/Ids4-like protein/
Zm00001eb045370	brown		Zm00001eb048780	Protein TIFY 11e/Protein TIFY 11e/ZIM motif family protein/TIFY9 (ZIM motif family protein) (ZIM transcription factor)/
Zm00001eb045380	blue		Zm00001eb048820	Purple acid phosphatase (EC 3.1.3.2)/Purple acid phosphatase (EC 3.1.3.2)/Purple acid phosphatase/
Zm00001eb045420	pink		Zm00001eb048850	Pentatricopeptide repeat-containing protein/Pentatricopeptide repeat-containing protein/ATP binding protein/Uncharacterized protein/
Zm00001eb045510	turquoise		Zm00001eb048860	Protein DETOXIFICATION 40/Protein DETOXIFICATION 40/Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein)/
Zm00001eb045560	turquoise		Zm00001eb048920	Uncharacterized protein/
Zm00001eb045570	blue		Zm00001eb049070	Speckle-type POZ protein/Speckle-type POZ protein/BTB/POZ and MATH domain-containing protein 1/
Zm00001eb045580	tan		Zm00001eb049080	Uncharacterized protein/
Zm00001eb045640	lightyellow		Zm00001eb049100	Uncharacterized protein/
Zm00001eb045690	cyan		Zm00001eb049150	Alpha-soluble NSF attachment protein 2/Alpha-soluble NSF attachment protein 2/Alpha-soluble NSF attachment protein/Alpha-soluble NSF attachment protein (Alpha-soluble NSF attachment protein 2)/
Zm00001eb045730	blue		Zm00001eb049270	Calcium-transporting ATPase (EC 7.2.2.10)/Calcium-transporting ATPase (EC 7.2.2.10)/Uncharacterized protein/Cation_ATPase_C domain-containing protein/
Zm00001eb045750	brown		Zm00001eb049540	Uncharacterized protein/
Zm00001eb045760	salmon		Zm00001eb049570	60S ribosomal protein L10/60S ribosomal protein L10/60S ribosomal protein L10-3/
Zm00001eb045770	green		Zm00001eb049600	FRIGIDA-like protein/
Zm00001eb045790	salmon		Zm00001eb049610	Guanine nucleotide-binding protein-like NSN1/Guanine nucleotide-binding protein-like NSN1/Guanine nucleotide-binding protein-like NSN1 (Fragment)/CP-type G domain-containing protein/Guanine nucleotide-binding protein-like 3/
Zm00001eb045800	lightyellow		Zm00001eb049720	60S ribosomal protein L24-2/60S ribosomal protein L24-2/60S ribosomal protein L24/
Zm00001eb045860	turquoise		Zm00001eb049730	Factor of DNA methylation 1/Factor of DNA methylation 1/Acyl carrier protein/
Zm00001eb045880	pink		Zm00001eb049750	Acyl carrier protein/
Zm00001eb045890	green		Zm00001eb049780	Uncharacterized protein/
Zm00001eb045900	turquoise		Zm00001eb049800	SMAD/FHA domain-containing protein/SMAD/FHA domain-containing protein/Nuclear inhibitor of protein phosphatase 1/FHA transcription factor (SMAD/FHA domain-containing protein)/
Zm00001eb045910	turquoise		Zm00001eb049860	Uncharacterized protein/
Zm00001eb045930	salmon		Zm00001eb049870	Leucine-rich repeat protein kinase family protein/
Zm00001eb045960	brown		Zm00001eb049890	ACT domain-containing protein ACR4/ACT domain-containing protein ACR4/ACR4/
Zm00001eb046010	pink		Zm00001eb049910	Uncharacterized protein/Uncharacterized protein/Nucleolar protein 14/
Zm00001eb046020	brown		Zm00001eb049920	Adenine nucleotide alpha hydrolase-like superfamily protein/Adenine nucleotide alpha hydrolase-like superfamily protein/Usp domain-containing protein/
Zm00001eb046040	blue		Zm00001eb049930	Putative E3 ubiquitin-protein ligase RHB1A/Putative E3 ubiquitin-protein ligase RHB1A/E3 ubiquitin-protein ligase/Protein binding protein/
Zm00001eb046060	blue		Zm00001eb049940	Thioredoxin superfamily protein (Fragment)/Thioredoxin superfamily protein (Fragment)/Thioredoxin superfamily protein/DSBA domain-containing protein/
Zm00001eb046070	turquoise		Zm00001eb049950	Regulator of chromosome condensation (RCC1) family protein/Regulator of chromosome condensation (RCC1) family protein/Putative E3 ubiquitin-protein ligase HERC3/
Zm00001eb046080	lightyellow		Zm00001eb050030	Uncharacterized protein/
Zm00001eb046090	turquoise		Zm00001eb050100	WIYLD domain-containing protein/WIYLD domain-containing protein/Uncharacterized protein/
Zm00001eb046100	salmon		Zm00001eb050290	Calmodulin binding protein/Calmodulin binding protein/Uncharacterized protein/Calmodulin binding protein (Orphans transcription factor)/
Zm00001eb046110	green		Zm00001eb050310	Uncharacterized protein/Uncharacterized protein/CSL zinc finger domain-containing protein/Expp1 protein/
Zm00001eb046160	tan		Zm00001eb050320	Nuclear transcription factor Y subunit/
Zm00001eb046170	cyan		Zm00001eb050340	Serine/threonine-protein phosphatase BSL3/Serine/threonine-protein phosphatase BSL3/Serine/threonine-protein phosphatase (EC 3.1.3.16)/
Zm00001eb046200	turquoise		Zm00001eb050350	DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)/DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)/DNA-directed RNA polymerase (EC 2.7.7.6)/DNA-directed RNA polymerase subunit beta (EC 2.7.7.6) (PEP) (Plastid-encoded RNA polymerase subunit beta) (RNA polymerase subunit beta)/
Zm00001eb046210	green		Zm00001eb050370	Protein ROOT PRIMORDIUM DEFECTIVE 1/Protein ROOT PRIMORDIUM DEFECTIVE 1/PORR domain-containing protein/Ubiquitin carboxyl-terminal hydrolase family protein/
Zm00001eb046280	green		Zm00001eb050410	Pyruvate dehydrogenase E1 component subunit beta (EC 1.2.4.1)/
Zm00001eb046340	green		Zm00001eb050460	Ornithine aminotransferase (EC 2.6.1.13)/
Zm00001eb046400	turquoise		Zm00001eb050470	Uncharacterized protein/
Zm00001eb046420	pink		Zm00001eb050480	Putative leucine-rich repeat receptor-like protein kinase family protein/Putative leucine-rich repeat receptor-like protein kinase family protein/Piriformospora indica-insensitive protein 2/Receptor like protein 29/
Zm00001eb046430	pink		Zm00001eb050490	Expansin-B4/Expansin-B4/Expansin-B12/Beta-expansin 4/Uncharacterized protein/
Zm00001eb046440	green		Zm00001eb050500	Beta-expansin 4 (Expansin-B4)/Beta-expansin 4 (Expansin-B4)/Uncharacterized protein/
Zm00001eb046510	turquoise		Zm00001eb050530	Metallo-hydrolase/oxidoreductase superfamily protein/Metallo-hydrolase/oxidoreductase superfamily protein/Uncharacterized protein/
Zm00001eb046520	brown		Zm00001eb050610	BTB/POZ domain-containing protein/BTB/POZ domain-containing protein/BTB/POZ domain-containing protein (Orphans transcription factor)/
Zm00001eb046560	brown		Zm00001eb050680	Nucleosome/chromatin assembly factor C/Nucleosome/chromatin assembly factor C/Histone-binding protein MSI1/Histone-binding protein MSI1 (MSI type nucleosome/chromatin assembly factor C)/
Zm00001eb046590	lightsteelblue1		Zm00001eb050760	Protein LSD1/Protein LSD1/Protein LOL3/LSD1-like zinc finger protein (Zinc finger protein LSD2)/
Zm00001eb046710	turquoise		Zm00001eb050860	Protein tesmin/TSO1-like CXC 2/Protein tesmin/TSO1-like CXC 2/Uncharacterized protein/
Zm00001eb046720	turquoise		Zm00001eb050990	AGG2/AGG2/Guanine nucleotide-binding protein subunit gamma 1/
Zm00001eb046770	turquoise		Zm00001eb051000	Pentatricopeptide repeat-containing protein chloroplastic/Pentatricopeptide repeat-containing protein chloroplastic/
Zm00001eb046790	turquoise		Zm00001eb051050	"Protein OSB2 chloroplastic/Protein OSB2 chloroplastic/Protein OSB1, mitochondrial/Single-strand binding protein/"
Zm00001eb046840	turquoise		Zm00001eb051070	Glycosyltransferase (EC 2.4.1.-)/
Zm00001eb046860	green		Zm00001eb051090	E3 ubiquitin protein ligase DRIP2/
Zm00001eb046890	brown		Zm00001eb051100	Uncharacterized protein/Uncharacterized protein/Protein BUD31 1/
Zm00001eb046960	paleturquoise		Zm00001eb051110	Prefoldin subunit 4/Prefoldin subunit 4/Putative WRKY transcription factor 74/
Zm00001eb046980	blue		Zm00001eb051150	Calcineurin B-like3/Calcineurin B-like3/Calcineurin B-like protein 3/Calcineurin B-like protein/
Zm00001eb046990	turquoise		Zm00001eb051160	Protein DETOXIFICATION 35/Protein DETOXIFICATION 35/Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein)/Uncharacterized protein/
Zm00001eb047010	tan		Zm00001eb051170	Protein DA1-related 1/
Zm00001eb047030	turquoise		Zm00001eb051200	Type IV inositol polyphosphate 5-phosphatase 11/Type IV inositol polyphosphate 5-phosphatase 11/IPPc domain-containing protein/
Zm00001eb047070	tan		Zm00001eb051220	Roothairless 1/Roothairless 1/Exocyst complex component SEC3A/
Zm00001eb047140	pink		Zm00001eb051240	Nucleotide binding protein/Nucleotide binding protein/Protein JINGUBANG/
Zm00001eb047170	pink		Zm00001eb051280	Outer arm dynein light chain 1 protein/
Zm00001eb047230	brown		Zm00001eb051300	Protein pleiotropic regulatory locus 1/Protein pleiotropic regulatory locus 1/PP1/PP2A phosphatases pleiotropic regulator PRL1/Uncharacterized protein/
Zm00001eb047240	pink		Zm00001eb051310	Putative transcription factor KAN4/Putative transcription factor KAN4/G2-like transcription factor/
Zm00001eb047250	turquoise		Zm00001eb051340	B3 domain-containing protein/B3 domain-containing protein/Putative B3 domain-containing protein/
Zm00001eb047270	blue		Zm00001eb051360	B3 domain-containing protein/
Zm00001eb047310	blue		Zm00001eb051370	B3 domain-containing protein/B3 domain-containing protein/B3 domain-containing protein (Fragment)/
Zm00001eb047330	turquoise		Zm00001eb051410	Putative N-acetyl-gamma-glutamyl-phosphate reductase chloroplastic/Putative N-acetyl-gamma-glutamyl-phosphate reductase chloroplastic/N-acetyl-glutamate semialdehyde dehydrogenase (EC 1.2.1.38)/
Zm00001eb047350	turquoise		Zm00001eb051460	ARM repeat superfamily protein/ARM repeat superfamily protein/Condensin-2 complex subunit G2/Uncharacterized protein/
Zm00001eb047370	turquoise		Zm00001eb051480	LOB domain-containing protein 28/LOB domain-containing protein 28/LOB domain-containing protein 36/
Zm00001eb047390	tan		Zm00001eb051610	Putative anion transporter 7/Putative anion transporter 7/Putative anion transporter 5/
Zm00001eb047400	brown		Zm00001eb051620	LOB domain-containing protein 38/LOB domain-containing protein 38/LOB domain-containing protein 37/
Zm00001eb047410	brown		Zm00001eb051730	Uncharacterized protein/Uncharacterized protein/WD40 repeat-containing protein HOS15/LisH domain-containing protein/
Zm00001eb047430	cyan		Zm00001eb051750	Zinc finger protein 1/Zinc finger protein 1/Putative dual specificity protein phosphatase DSP8/
Zm00001eb047450	brown		Zm00001eb051760	Putative dual specificity protein phosphatase DSP8/Putative dual specificity protein phosphatase DSP8/Gamma-glutamylcyclotransferase (EC 4.3.2.9)/
Zm00001eb047490	brown		Zm00001eb051780	Uncharacterized protein/
Zm00001eb047560	cyan		Zm00001eb051860	Putative ubiquitin-conjugating enzyme E2 18/Putative ubiquitin-conjugating enzyme E2 18/Uncharacterized protein/
Zm00001eb047570	brown		Zm00001eb051890	"9-cis-epoxycarotenoid dioxygenase NCED3 chloroplastic/9-cis-epoxycarotenoid dioxygenase NCED3 chloroplastic/9-cis-epoxycarotenoid dioxygenase 1, chloroplastic/"
Zm00001eb047610	pink		Zm00001eb051910	Knotted1-interacting protein/Knotted1-interacting protein/BEL1-like homeodomain protein 11/
Zm00001eb047630	brown		Zm00001eb051940	Cysteine-rich receptor-like protein kinase 29/Cysteine-rich receptor-like protein kinase 29/Uncharacterized protein/Myb_DNA-bind_3 domain-containing protein/
Zm00001eb047650	brown		Zm00001eb052010	BZIP domain-containing protein/
Zm00001eb047660	brown		Zm00001eb052020	Proline synthase co-transcribed bacterial homolog protein/Proline synthase co-transcribed bacterial homolog protein/Uncharacterized protein/
Zm00001eb047670	tan		Zm00001eb052100	CSC1-like protein RXW8/CSC1-like protein RXW8/Uncharacterized protein/
Zm00001eb047740	turquoise		Zm00001eb052120	Homeobox protein knotted-1-like 1/Homeobox protein knotted-1-like 1/Homeotic protein knotted-1/Homeobox protein knotted-1-like 4/HB transcription factor (Homeobox protein knotted-1-like 1)/Uncharacterized protein/Homeobox protein knotted-1-like 4 (Fragment)/
