ENSEMBL_GeneID	C_24_Susc_counts	C_24_Tol_counts	C_6_Susc_counts	C_6_Tol_counts	T_24_Susc_counts	T_24_Tol_counts	T_6_Susc_counts	T_6_Tol_counts
Zm00001eb097120	2	28	2	30	1	21	2	19
Zm00001eb097130	275	366	286	253	176	196	283	255
Zm00001eb097140	18	63	24	43	21	26	16	30
Zm00001eb097150	90	116	101	62	73	64	70	27
Zm00001eb097160	60	38	85	20	24	14	72	21
Zm00001eb097180	3683	4888	2450	3282	3508	5444	4349	5829
Zm00001eb097190	0	0	0	0	0	0	0	0
Zm00001eb097200	1736	1233	1847	1000	875	878	1508	1265
Zm00001eb097210	0	0	0	0	0	0	0	0
Zm00001eb097220	441	508	484	318	342	349	403	410
Zm00001eb097230	595.58	479.91	620.66	413.76	465.79	419.07	678.56	504.07
Zm00001eb097240	600	452	515	316	544	458	762	482
Zm00001eb097250	0	0	0	0	0	0	0	0
Zm00001eb097260	0	0	0	1	0	0	0	0
Zm00001eb097270	0	0	0	0	0	0	0	0
Zm00001eb097280	0	0	0	0	0	0	0	0
Zm00001eb097290	332	296	256	238	246	223	295	283
Zm00001eb097300	2989	3376	3087	2982	3868	3387	4377	3920
Zm00001eb097310	572	402	402	249	323	286	331	292
Zm00001eb097330	87	192	121	139	99	175	163	249
Zm00001eb097340	34	21	26	6	11	15	12	10
Zm00001eb097360	1222	1546	1197	1429	1133	1117	1631	1207
Zm00001eb097370	354	902	254	378	332	834	363	547
Zm00001eb097380	1919.74	3773.1	1493.62	1907.37	794.71	1529.64	1489.92	1156
Zm00001eb097390	864	1122	689	899	696	1077	988	1081
Zm00001eb097400	420	385	421	248	451	298	481	347
Zm00001eb097410	0	0	0	0	0	0	0	0
Zm00001eb097420	0	0	0	0	0	0	0	0
Zm00001eb097480	24	52	23	34	9	19	13	19
Zm00001eb097490	0	0	0	0	0	0	0	0
Zm00001eb097500	0	0	0	0	0	0	0	0
Zm00001eb097510	1	6	10	5	8	0	0	3
Zm00001eb097520	0	0	0	0	0	0	0	0
Zm00001eb097530	2	0	0	0	0	0	0	0
Zm00001eb097540	0	0	4	1	0	1	1	0
Zm00001eb097550	180	292	208	316	95	233	136	331
Zm00001eb097570	0	0	0	0	0	0	0	0
Zm00001eb097580	183	800	161	513	129	618	264	650
Zm00001eb097590	182.13	153.53	131	73	125.57	137.81	144.21	130.8
Zm00001eb097610	2	2	9	6	0	3	0	0
Zm00001eb097650	181	260	164	172	113	165	302	273
Zm00001eb097670	682	689	867	742	772	606	925	801
Zm00001eb097680	0	0	0	0	0	0	0	0
Zm00001eb097690	3746	4623	2110	2237	3613	4025	5481	5361
Zm00001eb097710	75	59	65	50	110	56	102	46
Zm00001eb097720	1	0	1	3	0	1	0	1
Zm00001eb097730	2614	2695	1804	1455	1933	2908	2658	2228
Zm00001eb097740	327	432	547	336	369	296	289	288
Zm00001eb097750	64.96	48.93	109.59	35.89	89.25	60.66	114.94	72.95
Zm00001eb097760	0	0	0	0	0	0	0	0
Zm00001eb097770	0	0	0	0	0	0	0	0
Zm00001eb097780	21	25	50	58	28	28	34	36
Zm00001eb097790	2929.67	2821.88	2759.28	2472.93	2741.19	2906.72	3854.87	2650.58
Zm00001eb097800	4	0	8	0	12	0	12	0
Zm00001eb097820	0	0	0	0	0	0	0	0
Zm00001eb097830	84	158	153	223	108	223	182	142
Zm00001eb097840	0	0	0.1	0	0	0	0	0
Zm00001eb097850	0	8	5	4	0	5	0	0
Zm00001eb097860	0	0	0	0	0	0	0	0
Zm00001eb097870	0	0	0	0	0	0	0	0
Zm00001eb097880	399	108	705	117	845	27	420	51
Zm00001eb097890	681	720	833	749	512	618	819	551
Zm00001eb097900	0	0	0	0	0	0	0	0
Zm00001eb097910	0	0	0	0	0	0	0	0
Zm00001eb097920	0	59.54	0	24.06	1.02	12.67	1.01	17.02
Zm00001eb097930	7	2	12	10	37	38	18	17
Zm00001eb097940	275	876	293	1034	287	700	208	685
Zm00001eb097950	232	82	82	62	143	114	346	204
Zm00001eb097960	2	3	0	7	0	21	0	0
Zm00001eb097980	0	188	6	115	0	108	0	99
Zm00001eb097990	368	172	368	203	239	119	324	153
Zm00001eb098010	0	1	1	0	0	0	0	5
Zm00001eb098030	505	403	524	310	452	287	533	339
Zm00001eb098040	1031	914	869	510	614	708	1085	901
Zm00001eb098050	0	0	0	0	0	0	0	0
Zm00001eb098060	0	0	0	0	0	0	0	0
Zm00001eb098070	661	667	358	386	337	452	474	382
Zm00001eb098080	75	95	115	97	140	162	58	79
Zm00001eb098100	246	667	536	502	127	240	221	376
Zm00001eb098110	53	59	42	30	16	22	62	36
Zm00001eb098120	46	52	40	59	84	98	13	78
Zm00001eb098130	0	0	2	2.07	1	0	0	0
Zm00001eb098140	0	0	0	1.93	0	2	1	0
Zm00001eb098150	39	282.04	46	197.68	66	570.22	75	436.72
Zm00001eb098160	0	21.96	0	22.32	0	15.78	0	37.28
Zm00001eb098170	0	0	2	1	2	2	1	0
Zm00001eb098180	0	0	0	0	0	0	0	0
Zm00001eb098190	30	0	69	1	10	1	4	1
Zm00001eb098200	0	0	0	0	0	0	0	0
Zm00001eb098210	0	0	0	0	0	0	0	0
Zm00001eb098220	810	176	203	76	485	127	1501	131
Zm00001eb098230	240	134	168	80	138.76	114	198.57	97
Zm00001eb098240	0	0	0	0	0	0	0	0
Zm00001eb098250	591	351	423	218	342	336	595	359
Zm00001eb098270	0	0	0	0	0	0	0	0
Zm00001eb098280	190	258	200	167	129	168	194	179
Zm00001eb098300	3	0	9	0	12	1	14	1
Zm00001eb098320	0	4	0	7	0	22	1	9
Zm00001eb098330	111	190	305	171	391	136	194	136
Zm00001eb098340	257	354	429	755	593	885	665	845
Zm00001eb098370	1132	2324	1423	1943	739	1140	1227	1810
Zm00001eb098380	48	50	45	36	34	33	47	49
Zm00001eb098390	60	198	128	144	51	117	62	321
Zm00001eb098400	56.76	42.78	28.73	27.52	26.32	6.87	29.65	65.74
Zm00001eb098410	364.24	390.22	380.27	369.48	406.68	405.13	465.35	401.26
Zm00001eb098420	8	43	19	34	25	28	19	28
Zm00001eb098430	243	279	172	107	166	225	277	277
Zm00001eb098450	2901	3023	2592	2326	3298	3099	3556	3433
Zm00001eb098460	1533	1088	1537	1337	953	991	1504	1183
Zm00001eb098470	0	0	0	0	0	0	0	0
Zm00001eb098480	0	0	0	0	0	0	0	0
Zm00001eb098490	1114	1183	979	697	701	723	1013	899
Zm00001eb098500	359	345	320	120	193	133	204	122
Zm00001eb098510	4222	5716	2427	2661	3827	5415	4370	5282
Zm00001eb098520	663	488	630	347	775	600	665	452
Zm00001eb098530	0	0	0	0	0	0	0	0
Zm00001eb098540	385.92	583.43	463.21	350.97	535.93	572.52	582.16	491.73
Zm00001eb098550	31.08	34.57	30.79	58.03	6.07	24.48	31.84	46.27
Zm00001eb098560	148.82	10.14	221.6	14.98	188.45	12.45	196	19.07
Zm00001eb098570	3.18	36.86	1.4	16.17	4.55	7.55	0	9.56
Zm00001eb098580	4165	3919	2715	2653	4299	3371	5241	4076
Zm00001eb098590	271.44	384.94	392	458.42	381.11	415.81	520.21	432.27
Zm00001eb098600	0	0	2	0	0	0	0	0
Zm00001eb098610	338	493	620	371	238	377	305	367
Zm00001eb098620	12	36	21	28	80	30	11	40
Zm00001eb098630	2	0	0	0	0	2	0	1
Zm00001eb098640	26	42	40	4	21	22	45	12
Zm00001eb098650	25	93	37	80	34	68	47	100
Zm00001eb098660	1	2	0	2	2	14	0	4
Zm00001eb098670	23	70	25	65	21	32	9	47
Zm00001eb098680	470	525	395	290	514	434	564	449
Zm00001eb098700	44	45	47	49	64	26	17	19
Zm00001eb098710	0	0	2	0	1	0	2	0
Zm00001eb098720	0	0	0	2	0	0	0	0
Zm00001eb098730	191	166	146	126	73	57	167	140
Zm00001eb098740	0	0	0	0	0	0	0	0
Zm00001eb098750	0	0	0	0	0	0	0	0
Zm00001eb098760	136	7	85	13.06	86	11.05	131	13.02
Zm00001eb098770	907	974	730	676	894	956	1049	1139
Zm00001eb098780	1	0	1	0	0	0	1.19	0
Zm00001eb098810	0	0	0	0	0	0	0	0
Zm00001eb098820	0	0	0	0	0	0	0	0
Zm00001eb098830	0	9	0	3	0	0	0	2
Zm00001eb098840	247	266	385	185	123	89	228	117
Zm00001eb098850	30	29	32	62	25	33	41	48
Zm00001eb098860	300	563	572	545	477	350	280	463
Zm00001eb098880	247	385	282	252	147	163	265	307
Zm00001eb098900	31	72	23	52	31	82	39	33
Zm00001eb098910	1057	1466	1535	1577	992	1707	1154	1214
Zm00001eb098920	0	0	0	0	0	0	0	0
Zm00001eb098930	0	0	0	0	0	0	0	0
Zm00001eb098940	100	442.79	129	288.69	51	146.68	43	240.73
Zm00001eb098950	0	10.21	3	9.31	0	7.32	2	21.27
Zm00001eb098960	12	51	10	30	3	23	5	31
Zm00001eb098970	290	127	262	67	196	53	197	41
Zm00001eb098980	577	502	437	233	293	275	322	241
Zm00001eb098990	466	1091	434	1002	445	1052	490	1247
Zm00001eb099000	470	520	207	231	202	288	475	336
Zm00001eb099010	0	22.49	0	14.11	0	11.27	2.82	25.44
Zm00001eb099020	170	747.51	233	382.89	249	917.73	214.18	946.56
Zm00001eb099030	288.56	425.81	279.65	305.08	674.38	745.98	334.03	638
Zm00001eb099040	92.44	21.19	7.35	6.92	29.62	14.02	85.97	0
Zm00001eb099050	0	0	0	0	0	1	0	0
Zm00001eb099060	3.52	1.23	0	0	5.24	1.03	1.15	2.1
Zm00001eb099070	432	321	274	143	170	120	210	138
Zm00001eb099080	626	829	508	449	418	437	673	583
Zm00001eb099090	185	294	270	186	123	123	158	163
Zm00001eb099100	214	139	228	214	74	72	119	131
Zm00001eb099110	0	0	0	0	0	0	0	0
Zm00001eb099120	1635	2019	1480	1665	1499	1429	1906	2116
Zm00001eb099130	8	3	58	3	1	3	11	0
Zm00001eb099150	0	2	3	10	0	0	0	0
Zm00001eb099160	2	47	8	46	1	13	0	36
Zm00001eb099170	52	49	48	25	19	14	37	35
Zm00001eb099180	0	0	0	0	0	0	0	0
Zm00001eb099190	0	0	4	0	1	0	11.88	0
Zm00001eb099200	8	5	1	12	0	9	1.12	5
Zm00001eb099210	0	0	1	0	0	0	3	0
Zm00001eb099220	0	0	2	0	0	0	1	0
Zm00001eb099230	0	0	0	0	0	0	0	0
Zm00001eb099240	953	338	1178	219	1410	266	3337	509
Zm00001eb099250	164.74	129	249.88	211.48	161	94	274	143.42
Zm00001eb099260	2.26	0	0.12	3.52	0	0	0	0.58
Zm00001eb099270	3	0	8	0	0	0	7	0
Zm00001eb099280	1633	2241	1321	1682	1359	1874	1754	2040
Zm00001eb099290	22	6	23	4	34	7	36	3
Zm00001eb099300	7	12	13	3	3	9	13	7
Zm00001eb099310	0	0	0	0	0	0	0	0
Zm00001eb099320	10	8	12	9	8	0	13	2
Zm00001eb099340	40	2	55	4	10	2	17	1
Zm00001eb099350	5	0	11	0	1	0	6	0
Zm00001eb099360	18	8	19	12	2	10	6	11
Zm00001eb099370	1	0	1	0	2	0	0	0
Zm00001eb099380	0	0	0	0	0	0	0	0
Zm00001eb099390	305.84	303.1	155.36	118.71	68.33	142	250.81	191.37
Zm00001eb099400	6.16	24.9	22.64	14.29	3.67	0	6.19	20.63
Zm00001eb099410	0	11	0	0	0	1	0	0
Zm00001eb099420	14	10	2	12	0	0	7	0
Zm00001eb099430	0	3.96	1.06	1.64	1.46	12.95	1.32	19.03
Zm00001eb099440	505	510.75	249	401	333	223	688	1006.08
Zm00001eb099450	0	0	0	0	0	0	0	0
Zm00001eb099460	0	2	0	0	0	3	0	13
Zm00001eb099470	97	89	119	163	88	105	78	133
Zm00001eb099480	1202	446	912	276	1202	440	1226	401
Zm00001eb099490	251	208	176	181	115	115	228	162
Zm00001eb099500	0	0	1	0	0	0	0	0
Zm00001eb099520	356	364	324	264	316	316	478	283
Zm00001eb099530	915	710	621	464	592	492	999	733
Zm00001eb099540	0	0	0	0	0	0	0	0
Zm00001eb099550	23	115.02	60	86	21	64	25	27
Zm00001eb099560	0	0	0	0	0	0	0	0
Zm00001eb099570	125	120.85	125	82	76	122	135	166
Zm00001eb099580	807	1389	841	1036	507	937	784	954
Zm00001eb099590	99	131	152	107	38	61	107	71
Zm00001eb099600	806	768	789	510	711	611	864	721
Zm00001eb099610	154	38	259	32	453	15	245	14
Zm00001eb099620	103	154	230	174	97	76	88	137
Zm00001eb099640	115	329	122	174	129	206	165	257
Zm00001eb099650	22	31	13	13	3	7	6	13
Zm00001eb099660	0	0	0	0	0	0	0	0
Zm00001eb099670	149	193	178	134	146	161	131	166
Zm00001eb099680	0	0	0	0	0	0	0	0
Zm00001eb099690	0	2	0	0	0	0	0	0
Zm00001eb099710	994.53	2209.36	1613.33	1807.83	914.9	1011	822.51	1155
Zm00001eb099720	15	154	15	59	12	61	13	69
Zm00001eb099730	0	0	0	0	0	0	0	0
Zm00001eb099740	397	3	467	4	174	0	305	0
Zm00001eb099750	0	0	0	0	0	0	0	2
Zm00001eb099760	48	0	70.12	0	7	0	45.15	0
Zm00001eb099770	45.4	0	137.48	0	43.97	0	54.78	0
Zm00001eb099780	0	0	0	0	0	0	0	0
Zm00001eb099790	0	0	0	2	0	0	0	0
Zm00001eb099800	0	2	0	0	0	2	0	2
Zm00001eb099810	42	58	88	68	28	22	33	27
Zm00001eb099820	179	200	243	172	56	68	127	157
Zm00001eb099830	22	0	25	1	10	4	20	7
Zm00001eb099850	401	232	378	197	424	198	484	165
Zm00001eb099870	22.6	0	48	0	30.07	0	20.68	0
Zm00001eb099880	24.4	31	0	16	2.93	20	15.32	17
Zm00001eb099890	0	0	0	0	0	0	0	0
Zm00001eb099900	19	8	25	6	15	2	3	0
Zm00001eb099910	1218.07	1777.4	695.84	1104.7	471.65	1375.17	1354.3	1774
Zm00001eb099920	2240	1180	2290	1010	829	260	1263	545
Zm00001eb099930	7639	10205.74	3950	6086	3813	7436	6459	6604
Zm00001eb099940	0	0	0	0	0	0	0	0
Zm00001eb099960	940	916	935.3	850	724	647	950	634
Zm00001eb099970	441	463	445	421	476	559	429	773
Zm00001eb099980	2360	6916	1986	3721	2441	17257	2271	16936
Zm00001eb099990	8	16	3	29	10	7	5	9
Zm00001eb100000	175	159	93	47	95	50	155	158
Zm00001eb100010	18	58	11	41	11	50	12	49
Zm00001eb100020	321	284	572	235	749	1883	214	335
Zm00001eb100030	33	21.86	16.05	12.37	13.85	18.01	17.65	28.71
Zm00001eb100050	34	49	35	15	31	13	17	12
Zm00001eb100060	466	813	632	745	571	1195	612	1031
Zm00001eb100070	1	2	3	5	2	3	2	4
Zm00001eb100090	20	41	42	22	34	8	25	16
Zm00001eb100100	2036	1863	1405	908	1422	1272	1420	938
Zm00001eb100110	297	1043	280	698	177	626	336	759
Zm00001eb100130	3	189	28	312	12	121	11	124
Zm00001eb100140	333	322	185	266	74	96	57	67
Zm00001eb100150	0	0	0	0	0	0	0	0
Zm00001eb100160	408	450	452	289	483	459	405	398
Zm00001eb100170	589	984	479	666	453	634	807	955
Zm00001eb100180	4307.76	4568.29	4551.21	3404.4	3375.08	4192.73	3702.83	4221.74
Zm00001eb100190	149	322	209	384	265	131	192	215
Zm00001eb100200	260.79	2.33	665.95	1	81.03	0	146.66	1
Zm00001eb100210	1152.21	3471.14	1739.05	2206.94	682.95	747.33	896.34	1928.98
Zm00001eb100220	27	238.43	112.33	202.84	9	7.07	41.17	174.34
Zm00001eb100230	41	153	58	81	51	166	61	94
Zm00001eb100250	319	253	214	241	151	145	80	74
Zm00001eb100260	80	112	122	86	82	54	121	51
Zm00001eb100280	1	11	2	7	0	2	2	10
Zm00001eb100290	2	4	0	0	0	1	0	0
Zm00001eb100300	76	31	79	13	204	121	136	67
Zm00001eb100310	1088	819	1016	777	1324	942	1517	986
Zm00001eb100320	10	6	16	7	18	0	27	7
Zm00001eb100330	0	0	0	0	0	0	0	0
Zm00001eb100340	828	1195	948	840	934	1085	1242	1864
Zm00001eb100350	141	147	186	177	137	154	98	165
Zm00001eb100360	0	1	1	0	2	0	0	1
Zm00001eb100370	0	0	0	0	0	0	0	0
Zm00001eb100380	64	49	45	55	13	15	20	19
Zm00001eb100400	0	0	0	0	0	0	0	0
Zm00001eb100410	395	260	186	86	146	188	252	137
Zm00001eb100420	0	0	0	0	0	0	0	0
Zm00001eb100430	271	302	163	161	217	157	336	203
Zm00001eb100440	192	254	218	186	242	316	268	288
Zm00001eb100450	406	401	362	205	355	379	395	344
Zm00001eb100460	330.5	591.36	348.28	549.14	323.05	723	570.17	1060.55
Zm00001eb100470	21.5	113.79	9.85	25.86	4.59	23.12	4.07	75.19
Zm00001eb100480	12.24	0	3	0	12	0	2	0
Zm00001eb100490	60	90	86	132	69	86	135	133
Zm00001eb100520	0	0	0	0	0	0	0	0
Zm00001eb100530	203.84	754.58	107	487.4	130	538.85	246	691.51
Zm00001eb100540	5.16	34.42	3	22.6	3	30.15	9	27.49
Zm00001eb100550	381	708	385	461	421	653	454	633
Zm00001eb100560	0	0	0	0	0	0	0	0
Zm00001eb100570	42	108	64	91	35	59	48	67
Zm00001eb100580	258	0	116	72	66	0	193	91
Zm00001eb100590	0	199	0	0	0	66	0	0
Zm00001eb100600	228	397	245	225	174	309	226	292
Zm00001eb100610	126	84	190	110	190	95	133	95
Zm00001eb100620	288	382	233	472	131	236	337	319
Zm00001eb100630	42	87	49	79	43	43	65	61
Zm00001eb100650	24	20	39	19	18	13	36	19
Zm00001eb100660	131.99	110.73	115	84.68	113	63	127	99
Zm00001eb100670	11	57	3	31	3	30	1	19
Zm00001eb100680	13	14	8	8	4	13	8	16
Zm00001eb100690	15	0	0	1	5	4	4	0
Zm00001eb100700	0	0	0	0	2	0	0	0
Zm00001eb100710	0	29	5	15	0	20	3	15
Zm00001eb100720	330	537	216	186	254	525	301	325
Zm00001eb100730	0	0	0	0	0	0	0	0
Zm00001eb100740	0	0	0	0	0	0	0	0
Zm00001eb100750	123	144	129	104	38	109	83	103
Zm00001eb100770	285	452	145	195	256.89	245	122	218.9
Zm00001eb100780	43	58	8	21	12	17	2	24
Zm00001eb100790	11	8	8	7	6	8	3	9
Zm00001eb100800	0	6	0	2	0	0	0	0
Zm00001eb100810	0	0	0	0	0	0	0	0
Zm00001eb100820	718	1286	743	986	337	882	478	1147
Zm00001eb100830	84	154	95	98	96	182	92	140
Zm00001eb100840	519	417	312	180	554	312	496	463
Zm00001eb100860	8	14	11	10	25	18	44	41
Zm00001eb100880	40	103	52	78	5	41	18	60
Zm00001eb100890	38	20	36	17	31.17	23.16	45	42
Zm00001eb100900	70	156	58	83	6	39	28	38
Zm00001eb100910	0	0	0	0	0	0	0	0
Zm00001eb100920	1751	2092	1589	1567	1429	1563	2293	2141
Zm00001eb100930	53	74	54	57	6	4	31	20
Zm00001eb100940	15	29	91	77	9	21	19	34
Zm00001eb100950	662	918	556	668	611	716	635	743
Zm00001eb100960	53	155	125	105	87	104	86	87
Zm00001eb100970	0	14	0	5	0	13	0	13
Zm00001eb100980	280	385	288	227	168	211	347	228
Zm00001eb100990	0	0	0	0	3	0	0	0
Zm00001eb101000	0	0	0	0	0	0	0	0
Zm00001eb101010	234	379	233	267	96	124	138	163
Zm00001eb101030	0	0	0	0	0	0	0	0
Zm00001eb101040	15	25	13	9	36	12	33	36
Zm00001eb101050	523	361	451	395	438	420	341	416
Zm00001eb101060	26.57	0	13.12	0	0	0	72.8	0
Zm00001eb101070	21.43	70	32.88	54	10	67	10.2	94
Zm00001eb101080	202	216	267	184	241.99	194	217	252
Zm00001eb101090	2414.62	2415	3146	2515	2242	2169	3091	2722
Zm00001eb101100	965	1698	502	757	774	1895	1089	1670
Zm00001eb101110	0	0	0	0	0	0	0	0
Zm00001eb101120	115.21	211	64	67	46	99	87	73
Zm00001eb101130	5	6	0	4	0	0	0	0
Zm00001eb101150	220	25	92	9	52	6	59	14
Zm00001eb101160	13	0	22	1	7	3	9	5
Zm00001eb101170	135	56	102	46	22	24	55	50
Zm00001eb101180	101	36	65	29	180	60	77	40
Zm00001eb101190	141	200	43	57	78	241	104	138
Zm00001eb101200	160	82	207	117	153	82	205	116
Zm00001eb101210	0	0	0	0	0	0	0	0
Zm00001eb101220	628	221	674	192	427	94	547	168
Zm00001eb101230	207	152	195	383	230	56	183	265
Zm00001eb101250	0	0	0	1	0	2	0	6
Zm00001eb101270	165	298	176	255	91	187	143	174
Zm00001eb101280	468.17	956	622	457	591	648	544	918
Zm00001eb101290	0	0	0	0	0	0	0	0
Zm00001eb101300	0	0	0	0	0	0	0	0
Zm00001eb101310	0	18	0	3	0	4	0	9
Zm00001eb101320	1673	1792	1986	1653	1379	1728	2203	1787
Zm00001eb101330	91	120	83	110	70	83	111	78
Zm00001eb101340	243	222	310	168	90	118	281	204
Zm00001eb101350	11	34	12	6	5	22	5	22
Zm00001eb101360	123	68	150	43	89	29	144	64
Zm00001eb101370	0	3	4	0	3	0	0	0
Zm00001eb101380	1232	1803	1071	1534	631	1302	713	782
Zm00001eb101390	0	0	0	0	0	0	0	0
Zm00001eb101400	0	0	1	0	0	0	0	0
Zm00001eb101410	561	1371	814	925	515	677	832	2395
Zm00001eb101420	63	6	122	7	58	0	85	8
Zm00001eb101440	251	202	123	103	133	86	206	87
Zm00001eb101450	3	1	0	0	0	0	0	0
Zm00001eb101460	0	0	0	0	0	0	0	0
Zm00001eb101470	433	434	438	284	305	380	438	396
Zm00001eb101480	2742	2646	3150	1935	3024	2579	4153	2554
Zm00001eb101500	694	115	897	164	340	68	349	156
Zm00001eb101510	0	0	0	0	0	0	0	0
Zm00001eb101520	258	359	207	235	72	134	171	176
Zm00001eb101530	224	373	223	259	202	359	270	313
Zm00001eb101540	3	1	0	0	0	3	0	1
Zm00001eb101550	8	32	9	21	12	30	20	48
Zm00001eb101560	129	198	103	271	185.1	200	204	243
Zm00001eb101580	4.04	0	4	0	2.78	0	6	1
Zm00001eb101600	0	0	0	0	0	0	0	0
Zm00001eb101610	0	0	0	0	0	0	0	0
Zm00001eb101620	0	0	0	0	0	0	0	0
Zm00001eb101630	8	19	11	4	11	2	11	13
Zm00001eb101640	1170	704	1231	513	989	579	1797	989
Zm00001eb101660	327	520	74	224	28	52	8	17
Zm00001eb101670	2003	1646	1804	1250	3793	3396	3409	3127
Zm00001eb101680	906	690	1085	552	610	508	810	529
Zm00001eb101690	4	2	3	6	4	0	0	4
Zm00001eb101700	610	735	832	520	993	550	881	776
Zm00001eb101710	142	74	110	61	65	18	92	30
Zm00001eb101720	0	0	0	0	0	0	0	0
Zm00001eb101730	0	0	0	0	0	0	0	0
Zm00001eb101740	0	0	0	0	0	0	0	0
Zm00001eb101750	16972	25310	13332	13456	14415	20276	16274	18223
Zm00001eb101760	71	66	32	48	80	22	25	46
Zm00001eb101770	1546	3546	1318	1980	1821	2871	2757	4635
Zm00001eb101780	206	232	333	415	107	148	127	181
Zm00001eb101800	0	19.34	0	0	0	27.39	0	7.51
Zm00001eb101810	27	31.66	16	12	36	29.61	7	26.49
Zm00001eb101820	64.96	0	42.55	2	37	7	27	7
Zm00001eb101840	398	373	383	324	260	408	478	870
Zm00001eb101850	12	27	17	21	13	25	9.02	24
Zm00001eb101860	399	654	282	406	205	382	311	398
Zm00001eb101870	1	131	0	102	0	91	0	182
Zm00001eb101880	623.63	651	830	385.62	351	483	830	389
Zm00001eb101890	89	122	49	82	67	66	132	98
Zm00001eb101900	89	234.95	128	253	74	207	54	137
Zm00001eb101910	4	6	9	3	0	2	1	6
Zm00001eb101920	8	7	8	24	5	13	11	15
Zm00001eb101930	113	175	101	88	21	75	116	141
Zm00001eb101940	386	569	385	256	383	492	432	531
Zm00001eb101950	75	51.69	131.96	59.21	101.9	47.92	99.99	42
Zm00001eb101960	70.66	187.03	67.19	147.13	36.03	171.32	85.09	140.72
Zm00001eb101970	14.61	101.09	14.84	55.46	9.14	40.95	13.64	44.78
Zm00001eb101980	1365	1533	2507	2497	3247	2204	2099	1923
Zm00001eb101990	5197	7473	3199	3737	7212	6246	5562	5794
Zm00001eb102000	8	16	17	19	8	10	10	4
Zm00001eb102030	1806	1985	1684	1874	2874	3319	3432	4820
Zm00001eb102050	999	1183	1136	1592	880	1095	1305	1229
Zm00001eb102060	4	1	4	2	4	3	4	4
Zm00001eb102070	0	62	0	40	0	34	3	16
Zm00001eb102080	17	43	20	37	1	17	5	17
Zm00001eb102090	2404	2350	1996	1547	1318	1488	2091	2042
Zm00001eb102100	0	0	0	0	0	0	0	0
Zm00001eb102110	0	0	0	0	0	1	0	0
Zm00001eb102120	2372.07	1830.06	1648.15	1778.39	2162.63	1993.82	2402.66	2329.82
Zm00001eb102130	17.93	24.94	13.85	12.61	7.37	2.18	7.34	3.18
Zm00001eb102140	309	306	246	171	266	268	278	296
Zm00001eb102150	1260	1574	979	1151	1176	1441	1695	2127
Zm00001eb102160	56	119	27	57	128	111	116	112
Zm00001eb102170	82	41	99	44	27	21	83	43
Zm00001eb102180	302	283	325	170	181	193	322	251
Zm00001eb102190	0	0	0	0	0	0	0	0
Zm00001eb102200	2298	1922.13	2890	2596.75	2376	1632.9	2803.8	1824.46
Zm00001eb102210	448	413	647	333	614	827	542	444
Zm00001eb102220	42	102	21	126	26	43	45	79
Zm00001eb102230	154	165	99	113	111	208	190	143
Zm00001eb102240	36	26	37	25	39	35	28	48
Zm00001eb102250	1267	1594	709	1186	916	1192	1327	1703
Zm00001eb102260	98	149	144	99	104	48	98	88
Zm00001eb102270	6	15.99	3	17.34	1	18.61	4.97	7.65
Zm00001eb102280	0	36.01	2	17.66	1	14.39	8.03	23.35
Zm00001eb102290	196.12	33.34	236.55	12.9	444.2	47.27	246	47.91
Zm00001eb102300	526	434	710.55	252	682	308	582.05	355
Zm00001eb102310	730	512	664.45	260	604	535	699.95	435
Zm00001eb102320	0	1	0	1	1	0	0	0
Zm00001eb102330	60.93	0	112.66	1.71	81.23	0	93.72	1.73
Zm00001eb102340	148.07	25	141.34	39.29	93.77	14	96.28	18.27
Zm00001eb102350	495	980	545	743	589	836	850	977
Zm00001eb102360	787	817	568	546	1065	614	978	746
Zm00001eb102370	70	4	28	2	2	1	11	2
Zm00001eb102380	2821	3076	2605	1902	2717	3184	3100	2928
Zm00001eb102400	3598	3868	3454	2629	3869	4185	4655	4434
Zm00001eb102410	0	0	0	0	0	0	0	0
Zm00001eb102420	127	151	199	137	106	85	160	186
Zm00001eb102430	222	259	259	204	119	128	238	133
Zm00001eb102440	41	38	78	42	23	23	28	21
Zm00001eb102450	55	6	42	2	57	2	48	4
Zm00001eb102460	1679	1015	1758	710	1202	680	1384	785
Zm00001eb102470	865	733	891	596	507	488	1134	720
Zm00001eb102480	1387	1698	3005	2989	1355	1536	2039	2036
Zm00001eb102490	5	6	4	2	3	3	2	1
Zm00001eb102500	3888	3143	2433	2817	2566	2983	3765	3646
Zm00001eb102510	536	25	228	19	23	15	708	103
Zm00001eb102520	503	243	521	288	539	283	652	356
Zm00001eb102530	447	595	528	392	566	552	332	303
Zm00001eb102540	11	28	37	40	15	17	11	29
Zm00001eb102550	1464.87	1657	1565.65	1233.82	1437.54	2012.52	1880.57	1913.97
Zm00001eb102560	1641	1118	1459	796	1694	988	1953	1002
Zm00001eb102570	2	4	0	1	0	13	0	2
Zm00001eb102580	34	33	76	14	34	42	76	25
Zm00001eb102590	5676	7347	6564	3992	9936	5185	8422	7573
Zm00001eb102600	134	268	210	269	96	125	141	170
Zm00001eb102610	507	730	329	421	433	484	577	561
Zm00001eb102620	2	12	14	9	2	0	3	4
Zm00001eb102630	0	0	0	0	0	0	0	0
Zm00001eb102640	168	230	231	205	163	169	169	162
Zm00001eb102650	2	9	1	0	1	4	0	6
